1485827136
[H[JMem: 49436K used, 463192K free, 80K shrd, 1696K buff, 4860K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/80 1761
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 463192   1696   6612    0    0     0     0  245   32  0  0 100  0  0 2017-01-31 01:45:36
 0  0      0 462828   1696   6616    0    0     0     0  993  300  0  2 98  0  0 2017-01-31 01:45:37
 0  0      0 461760   1696   6616    0    0     0     0 1359  350  0  3 98  0  0 2017-01-31 01:45:38
 0  0      0 461784   1696   6616    0    0     0     0  672  167  0  1 100  0  0 2017-01-31 01:45:39
 0  0      0 462468   1696   6616    0    0     0     0  698  189  0  0 100  0  0 2017-01-31 01:45:40
 0  0      0 462508   1696   6616    0    0     0     0  488   69  0  0 100  0  0 2017-01-31 01:45:41
 0  0      0 462508   1696   6616    0    0     0     0  519  106  0  0 100  0  0 2017-01-31 01:45:42
 0  0      0 462508   1696   6616    0    0     0     0  565   91  0  0 100  0  0 2017-01-31 01:45:43
 0  0      0 462508   1696   6616    0    0     0     0  697  107  0  0 100  0  0 2017-01-31 01:45:44
 0  0      0 462508   1696   6616    0    0     0     0 1799  288  0  0 100  0  0 2017-01-31 01:45:45
 0  0      0 462508   1696   6616    0    0     0     0 2379  321  0  1 99  0  0 2017-01-31 01:45:46
 0  0      0 462508   1696   6616    0    0     0     0 2296  326  0  3 98  0  0 2017-01-31 01:45:47
 0  0      0 462508   1696   6616    0    0     0     0 2347  320  0  2 98  0  0 2017-01-31 01:45:48
 0  0      0 462508   1696   6616    0    0     0     0 2392  316  0  0 100  0  0 2017-01-31 01:45:49
 0  0      0 462508   1696   6616    0    0     0     0 2386  316  0  1 99  0  0 2017-01-31 01:45:50
 0  0      0 462508   1696   6616    0    0     0     0 2423  324  0  2 99  0  0 2017-01-31 01:45:51
 0  0      0 462508   1696   6616    0    0     0     0 2397  319  0  2 98  0  0 2017-01-31 01:45:52
 0  0      0 462508   1696   6616    0    0     0     0 2320  316  0  0 100  0  0 2017-01-31 01:45:53
 0  0      0 462508   1696   6616    0    0     0     0 2455  316  0  0 100  0  0 2017-01-31 01:45:54
 0  0      0 462508   1696   6616    0    0     0     0 2354  320  0  2 99  0  0 2017-01-31 01:45:55
 0  0      0 462508   1696   6616    0    0     0     0 2465  325  0  3 97  0  0 2017-01-31 01:45:56
 0  0      0 462508   1696   6616    0    0     0     0 2302  323  0  2 98  0  0 2017-01-31 01:45:57
 0  0      0 462508   1696   6616    0    0     0     0 2301  323  0  0 100  0  0 2017-01-31 01:45:58
 0  0      0 462508   1696   6616    0    0     0     0 2423  314  0  1 99  0  0 2017-01-31 01:45:59
 0  0      0 462444   1696   6616    0    0     0     0 2271  318  0  1 100  0  0 2017-01-31 01:46:00
 0  0      0 462508   1696   6616    0    0     0     0 2400  315  0  0 100  0  0 2017-01-31 01:46:01
 0  0      0 462508   1696   6616    0    0     0     0 2451  331  0  2 98  0  0 2017-01-31 01:46:02
 0  0      0 462444   1696   6616    0    0     0     0 2256  317  0  2 99  0  0 2017-01-31 01:46:03
 0  0      0 462444   1696   6616    0    0     0     0 2212  325  0  2 98  0  0 2017-01-31 01:46:04
 0  0      0 462444   1696   6616    0    0     0     0 2221  326  0  0 100  0  0 2017-01-31 01:46:05
 0  0      0 462508   1696   6616    0    0     0     0 2243  336  0  1 100  0  0 2017-01-31 01:46:06
 0  0      0 462508   1696   6616    0    0     0     0 2228  332  0  1 100  0  0 2017-01-31 01:46:07
 0  0      0 462508   1696   6616    0    0     0     0 2241  338  0  1 99  0  0 2017-01-31 01:46:08
 0  0      0 462508   1696   6616    0    0     0     0 2207  319  0  0 100  0  0 2017-01-31 01:46:09
 0  0      0 462508   1696   6616    0    0     0     0 2251  321  0  0 100  0  0 2017-01-31 01:46:10
 0  0      0 462508   1696   6616    0    0     0     0 2249  327  0  3 98  0  0 2017-01-31 01:46:11
 0  0      0 462508   1696   6620    0    0     0     0 2210  330  0  1 99  0  0 2017-01-31 01:46:12
 0  0      0 462508   1696   6620    0    0     0     0 2242  323  0  2 99  0  0 2017-01-31 01:46:13
 0  0      0 462508   1696   6620    0    0     0     0 2237  324  0  1 99  0  0 2017-01-31 01:46:14
 0  0      0 462508   1696   6620    0    0     0     0 2288  324  0  1 99  0  0 2017-01-31 01:46:15
 0  0      0 462508   1696   6620    0    0     0     0 2349  330  0  2 99  0  0 2017-01-31 01:46:16
 0  0      0 462508   1696   6620    0    0     0     0 2218  319  0  1 100  0  0 2017-01-31 01:46:17
 0  0      0 462508   1696   6620    0    0     0     0 2257  319  0  0 100  0  0 2017-01-31 01:46:18
 0  0      0 462508   1696   6620    0    0     0     0 2244  322  0  0 100  0  0 2017-01-31 01:46:19
 0  0      0 462508   1696   6620    0    0     0     0 2261  334  0  1 100  0  0 2017-01-31 01:46:20
 0  0      0 462508   1696   6620    0    0     0     0 2220  318  0  1 99  0  0 2017-01-31 01:46:21
 0  0      0 462508   1696   6620    0    0     0     0 2244  319  0  0 100  0  0 2017-01-31 01:46:22
 0  0      0 462508   1696   6620    0    0     0     0 2244  317  0  0 100  0  0 2017-01-31 01:46:23
 0  0      0 462508   1696   6620    0    0     0     0 2283  324  0  1 100  0  0 2017-01-31 01:46:24
 0  0      0 462444   1696   6620    0    0     0     0 2204  318  0  0 100  0  0 2017-01-31 01:46:25
 0  0      0 462508   1696   6620    0    0     0     0 2291  326  0  2 98  0  0 2017-01-31 01:46:26
 0  0      0 462508   1696   6620    0    0     0     0 2410  329  0  2 98  0  0 2017-01-31 01:46:27
 0  0      0 462508   1696   6620    0    0     0     0 2394  314  0  0 100  0  0 2017-01-31 01:46:28
 0  0      0 462508   1696   6620    0    0     0     0 2211  326  0  1 100  0  0 2017-01-31 01:46:29
 0  0      0 462508   1696   6620    0    0     0     0 2331  317  0  0 100  0  0 2017-01-31 01:46:30
 0  0      0 462508   1696   6620    0    0     0     0 2476  322  0  1 99  0  0 2017-01-31 01:46:31
 0  0      0 462508   1696   6620    0    0     0     0 2342  325  0  1 100  0  0 2017-01-31 01:46:32
 0  0      0 462508   1696   6620    0    0     0     0 2232  325  0  1 100  0  0 2017-01-31 01:46:33
 0  0      0 462508   1696   6620    0    0     0     0 2278  323  0  0 100  0  0 2017-01-31 01:46:34
 0  0      0 462508   1696   6620    0    0     0     0 2220  320  0  0 100  0  0 2017-01-31 01:46:35
 0  0      0 462508   1696   6620    0    0     0     0 2414  325  0  1 99  0  0 2017-01-31 01:46:36
 0  0      0 462508   1696   6620    0    0     0     0 2490  324  0  1 99  0  0 2017-01-31 01:46:37
 0  0      0 462444   1696   6620    0    0     0     0 2391  322  0  2 98  0  0 2017-01-31 01:46:38
 0  0      0 462508   1696   6620    0    0     0     0 2366  313  0  0 100  0  0 2017-01-31 01:46:39
 0  0      0 462508   1696   6620    0    0     0     0 2368  320  0  1 100  0  0 2017-01-31 01:46:40
 0  0      0 462508   1696   6620    0    0     0     0 2401  317  0  0 100  0  0 2017-01-31 01:46:41
 0  0      0 462508   1696   6620    0    0     0     0 2371  334  0  0 100  0  0 2017-01-31 01:46:42
 0  0      0 462508   1696   6620    0    0     0     0 2299  313  0  0 100  0  0 2017-01-31 01:46:43
 0  0      0 462508   1696   6620    0    0     0     0 2222  323  0  1 100  0  0 2017-01-31 01:46:44
 1  0      0 462444   1696   6620    0    0     0     0 2229  316  0  0 100  0  0 2017-01-31 01:46:45
 0  0      0 462508   1696   6620    0    0     0     0 2230  323  0  2 98  0  0 2017-01-31 01:46:46
 0  0      0 462508   1696   6620    0    0     0     0 2247  335  0  0 100  0  0 2017-01-31 01:46:47
 0  0      0 462508   1696   6620    0    0     0     0 2237  327  0  2 99  0  0 2017-01-31 01:46:48
 0  0      0 462508   1696   6620    0    0     0     0 2301  321  0  0 100  0  0 2017-01-31 01:46:49
 0  0      0 462508   1696   6620    0    0     0     0 2446  319  0  1 99  0  0 2017-01-31 01:46:50
 0  0      0 462508   1696   6620    0    0     0     0 2322  323  0  2 99  0  0 2017-01-31 01:46:51
 0  0      0 462508   1696   6620    0    0     0     0 2349  319  0  1 99  0  0 2017-01-31 01:46:52
 0  0      0 462508   1696   6624    0    0     0     0 2318  314  0  0 100  0  0 2017-01-31 01:46:53
 0  0      0 462508   1696   6624    0    0     0     0 2301  317  0  1 100  0  0 2017-01-31 01:46:54
 0  0      0 462508   1696   6624    0    0     0     0 2294  326  0  4 97  0  0 2017-01-31 01:46:55
 0  0      0 462508   1696   6624    0    0     0     0 2398  321  0  1 99  0  0 2017-01-31 01:46:56
 0  0      0 462508   1696   6624    0    0     0     0 2285  318  0  1 99  0  0 2017-01-31 01:46:57
 0  0      0 462508   1696   6624    0    0     0     0 2378  320  0  1 99  0  0 2017-01-31 01:46:58
 0  0      0 462508   1696   6624    0    0     0     0 2313  328  0  1 100  0  0 2017-01-31 01:46:59
 0  0      0 462508   1696   6624    0    0     0     0 2364  314  0  0 100  0  0 2017-01-31 01:47:00
 0  0      0 462508   1696   6624    0    0     0     0 2326  325  0  2 99  0  0 2017-01-31 01:47:01
 0  0      0 462508   1696   6624    0    0     0     0 2289  321  0  0 100  0  0 2017-01-31 01:47:02
 0  0      0 462508   1696   6624    0    0     0     0 2265  320  0  0 100  0  0 2017-01-31 01:47:03
 0  0      0 462508   1696   6624    0    0     0     0 2248  323  0  1 100  0  0 2017-01-31 01:47:04
 0  0      0 462508   1696   6624    0    0     0     0 2249  315  0  1 100  0  0 2017-01-31 01:47:05
 0  0      0 462508   1696   6624    0    0     0     0 2241  321  0  1 100  0  0 2017-01-31 01:47:06
 0  0      0 462508   1696   6624    0    0     0     0 2249  324  0  1 100  0  0 2017-01-31 01:47:07
 0  0      0 462508   1696   6624    0    0     0     0 2218  323  0  0 100  0  0 2017-01-31 01:47:08
 0  0      0 462508   1696   6624    0    0     0     0 2239  320  0  1 99  0  0 2017-01-31 01:47:09
 0  0      0 462444   1696   6624    0    0     0     0 2238  320  0  1 100  0  0 2017-01-31 01:47:10
 0  0      0 462508   1696   6624    0    0     0     0 2220  324  0  1 99  0  0 2017-01-31 01:47:11
 0  0      0 462508   1696   6624    0    0     0     0 2241  319  0  0 100  0  0 2017-01-31 01:47:12
 0  0      0 462508   1696   6624    0    0     0     0 2232  325  0  1 99  0  0 2017-01-31 01:47:13
 0  0      0 462508   1696   6624    0    0     0     0 2240  325  0  2 99  0  0 2017-01-31 01:47:14
 0  0      0 462508   1696   6624    0    0     0     0 2238  316  0  0 100  0  0 2017-01-31 01:47:15
 0  0      0 462508   1696   6624    0    0     0     0 2265  322  0  1 100  0  0 2017-01-31 01:47:16
 0  0      0 462508   1696   6624    0    0     0     0 2422  329  0  2 98  0  0 2017-01-31 01:47:17
 0  0      0 462508   1696   6624    0    0     0     0 2383  333  0  1 99  0  0 2017-01-31 01:47:18
 0  0      0 462508   1696   6624    0    0     0     0 2437  324  0  1 100  0  0 2017-01-31 01:47:19
 0  0      0 462508   1696   6624    0    0     0     0 2421  327  0  2 99  0  0 2017-01-31 01:47:20
 0  0      0 462508   1696   6624    0    0     0     0 2336  316  0  1 100  0  0 2017-01-31 01:47:21
 0  0      0 462508   1696   6624    0    0     0     0 2418  321  0  2 99  0  0 2017-01-31 01:47:22
 0  0      0 462508   1696   6624    0    0     0     0 2412  320  0  0 100  0  0 2017-01-31 01:47:23
 0  0      0 462508   1696   6624    0    0     0     0 2411  322  0  0 100  0  0 2017-01-31 01:47:24
 0  0      0 462508   1696   6624    0    0     0     0 2399  322  0  1 99  0  0 2017-01-31 01:47:25
 0  0      0 462508   1696   6624    0    0     0     0 2359  317  0  1 100  0  0 2017-01-31 01:47:26
 0  0      0 462508   1696   6624    0    0     0     0 2384  318  0  0 100  0  0 2017-01-31 01:47:27
 0  0      0 462508   1696   6624    0    0     0     0 2395  329  0  2 98  0  0 2017-01-31 01:47:28
 0  0      0 462508   1696   6624    0    0     0     0 2364  318  0  1 100  0  0 2017-01-31 01:47:29
 0  0      0 462508   1696   6624    0    0     0     0 2436  321  0  2 99  0  0 2017-01-31 01:47:30
 0  0      0 462508   1696   6624    0    0     0     0 2433  322  0  3 97  0  0 2017-01-31 01:47:31
