1485870385
[H[JMem: 50092K used, 462536K free, 80K shrd, 1696K buff, 4860K cached
CPU:   0% usr   9% sys   0% nic  90% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 1/80 2172
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 462412   1696   6620    0    0     0     0   10   67  0  0 100  0  0 2017-01-31 13:46:25
 0  0      0 462172   1696   6624    0    0     0     0 1031  297  0  1 99  0  0 2017-01-31 13:46:26
 0  0      0 461292   1696   6624    0    0     0     0 1303  352  0  1 99  0  0 2017-01-31 13:46:27
 0  0      0 461356   1696   6624    0    0     0     0  718  198  0  0 100  0  0 2017-01-31 13:46:28
 0  0      0 461952   1696   6624    0    0     0     0  706  154  0  0 100  0  0 2017-01-31 13:46:29
 0  0      0 461984   1696   6624    0    0     0     0  482   72  0  0 100  0  0 2017-01-31 13:46:30
 0  0      0 461984   1696   6624    0    0     0     0  514  103  0  0 100  0  0 2017-01-31 13:46:31
 0  0      0 461984   1696   6624    0    0     0     0  507   78  0  0 100  0  0 2017-01-31 13:46:32
 0  0      0 461984   1696   6624    0    0     0     0  767  143  0  0 100  0  0 2017-01-31 13:46:33
 0  0      0 461984   1696   6624    0    0     0     0 1921  272  0  1 100  0  0 2017-01-31 13:46:34
 0  0      0 462040   1696   6624    0    0     0     0 2369  321  0  1 100  0  0 2017-01-31 13:46:35
 0  0      0 462088   1696   6624    0    0     0     0 2362  316  0  1 99  0  0 2017-01-31 13:46:36
 0  0      0 462088   1696   6624    0    0     0     0 2289  332  0  2 98  0  0 2017-01-31 13:46:37
 0  0      0 462024   1696   6624    0    0     0     0 2307  323  0  2 98  0  0 2017-01-31 13:46:38
 0  0      0 462088   1696   6624    0    0     0     0 2413  318  0  2 99  0  0 2017-01-31 13:46:39
 0  0      0 462088   1696   6624    0    0     0     0 2389  321  0  1 100  0  0 2017-01-31 13:46:40
 0  0      0 462088   1696   6624    0    0     0     0 2356  327  0  3 98  0  0 2017-01-31 13:46:41
 0  0      0 462088   1696   6624    0    0     0     0 2377  320  0  1 99  0  0 2017-01-31 13:46:42
