1485855967
[H[JMem: 49864K used, 462764K free, 80K shrd, 1696K buff, 4860K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/80 2026
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 462764   1696   6620    0    0     0     0  319   62  0  0 100  0  0 2017-01-31 09:46:08
 0  0      0 462580   1696   6624    0    0     0     0  805  220  0  1 100  0  0 2017-01-31 09:46:09
 0  0      0 461888   1696   6624    0    0     0     0  987  330  0  0 100  0  0 2017-01-31 09:46:10
 0  0      0 461440   1696   6624    0    0     0     0 1015  306  0  1 100  0  0 2017-01-31 09:46:11
 0  0      0 461968   1696   6624    0    0     0     0  598  139  0  0 100  0  0 2017-01-31 09:46:12
 0  0      0 461976   1696   6624    0    0     0     0  555   85  0  0 100  0  0 2017-01-31 09:46:13
 0  0      0 461976   1696   6624    0    0     0     0  543   99  0  0 100  0  0 2017-01-31 09:46:14
 0  0      0 462008   1696   6624    0    0     0     0  485   81  0  0 100  0  0 2017-01-31 09:46:15
 0  0      0 462008   1696   6624    0    0     0     0  495  112  0  0 100  0  0 2017-01-31 09:46:16
 0  0      0 462008   1696   6624    0    0     0     0  827  146  0  0 100  0  0 2017-01-31 09:46:17
 0  0      0 462008   1696   6624    0    0     0     0 1283  211  0  1 100  0  0 2017-01-31 09:46:18
 0  0      0 462008   1696   6624    0    0     0     0 2309  322  0  1 99  0  0 2017-01-31 09:46:19
 0  0      0 462008   1696   6624    0    0     0     0 2302  317  0  1 99  0  0 2017-01-31 09:46:20
 0  0      0 462008   1696   6624    0    0     0     0 2403  323  0  3 98  0  0 2017-01-31 09:46:21
 0  0      0 462008   1696   6624    0    0     0     0 2380  325  0  1 99  0  0 2017-01-31 09:46:22
 0  0      0 462008   1696   6624    0    0     0     0 2421  311  0  0 100  0  0 2017-01-31 09:46:23
 0  0      0 462008   1696   6624    0    0     0     0 2306  319  0  1 100  0  0 2017-01-31 09:46:24
 0  0      0 462008   1696   6624    0    0     0     0 2336  312  0  1 100  0  0 2017-01-31 09:46:25
 0  0      0 462008   1696   6624    0    0     0     0 2441  312  0  1 100  0  0 2017-01-31 09:46:26
 0  0      0 462008   1696   6624    0    0     0     0 2453  321  0  2 98  0  0 2017-01-31 09:46:27
 0  0      0 462008   1696   6624    0    0     0     0 2279  328  0  1 100  0  0 2017-01-31 09:46:28
 0  0      0 462008   1696   6624    0    0     0     0 2252  319  0  2 98  0  0 2017-01-31 09:46:29
 0  0      0 462008   1696   6624    0    0     0     0 2327  319  0  1 99  0  0 2017-01-31 09:46:30
 0  0      0 462008   1696   6624    0    0     0     0 2367  313  0  0 100  0  0 2017-01-31 09:46:31
 0  0      0 462008   1696   6624    0    0     0     0 2355  321  0  2 99  0  0 2017-01-31 09:46:32
 0  0      0 462008   1696   6624    0    0     0     0 2302  318  0  2 99  0  0 2017-01-31 09:46:33
 0  0      0 462008   1696   6624    0    0     0     0 2242  323  0  1 99  0  0 2017-01-31 09:46:34
 0  0      0 462008   1696   6624    0    0     0     0 2250  321  0  2 98  0  0 2017-01-31 09:46:35
 0  0      0 462008   1696   6624    0    0     0     0 2300  322  0  1 99  0  0 2017-01-31 09:46:36
 0  0      0 462008   1696   6624    0    0     0     0 2373  316  0  1 98  0  0 2017-01-31 09:46:37
 0  0      0 462008   1696   6624    0    0     0     0 2320  330  0  2 98  0  0 2017-01-31 09:46:38
 0  0      0 462008   1696   6624    0    0     0     0 2359  325  0  2 99  0  0 2017-01-31 09:46:39
 0  0      0 462008   1696   6624    0    0     0     0 2387  330  0  1 100  0  0 2017-01-31 09:46:40
 0  0      0 462008   1696   6624    0    0     0     0 2219  349  0  3 98  0  0 2017-01-31 09:46:41
 0  0      0 462008   1696   6624    0    0     0     0 2353  324  0  1 99  0  0 2017-01-31 09:46:42
 0  0      0 462008   1696   6624    0    0     0     0 2367  319  0  1 100  0  0 2017-01-31 09:46:43
 0  0      0 462008   1696   6628    0    0     0     0 2329  316  0  1 100  0  0 2017-01-31 09:46:44
 0  0      0 462008   1696   6628    0    0     0     0 2239  326  0  2 99  0  0 2017-01-31 09:46:45
 0  0      0 462008   1696   6628    0    0     0     0 2265  326  0  2 99  0  0 2017-01-31 09:46:46
 0  0      0 462008   1696   6628    0    0     0     0 2237  322  0  1 100  0  0 2017-01-31 09:46:47
 0  0      0 462008   1696   6628    0    0     0     0 2243  336  0  1 99  0  0 2017-01-31 09:46:48
 0  0      0 462008   1696   6628    0    0     0     0 2284  316  0  2 98  0  0 2017-01-31 09:46:49
 0  0      0 462008   1696   6628    0    0     0     0 2403  317  0  1 99  0  0 2017-01-31 09:46:50
 0  0      0 462008   1696   6628    0    0     0     0 2446  314  0  1 100  0  0 2017-01-31 09:46:51
 0  0      0 462008   1696   6628    0    0     0     0 2385  317  0  1 100  0  0 2017-01-31 09:46:52
 0  0      0 462008   1696   6628    0    0     0     0 2272  311  0  1 100  0  0 2017-01-31 09:46:53
 0  0      0 462008   1696   6628    0    0     0     0 2294  328  0  2 98  0  0 2017-01-31 09:46:54
 0  0      0 462008   1696   6628    0    0     0     0 2459  321  0  3 98  0  0 2017-01-31 09:46:55
 0  0      0 462008   1696   6628    0    0     0     0 2245  330  0  2 98  0  0 2017-01-31 09:46:56
 0  0      0 462008   1696   6628    0    0     0     0 2244  321  0  2 99  0  0 2017-01-31 09:46:57
 0  0      0 462008   1696   6628    0    0     0     0 2265  323  0  1 99  0  0 2017-01-31 09:46:58
 0  0      0 462008   1696   6628    0    0     0     0 2359  321  0  1 99  0  0 2017-01-31 09:46:59
