1487171472
[H[JMem: 96656K used, 416128K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.08 0.02 0.01 2/80 23135
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 416128   4916  33864    0    0     0     0   22   10  0  2 98  0  0 2017-02-15 15:11:12
 0  0      0 416200   4916  33868    0    0     0     0 51694  276  0  9 91  0  0 2017-02-15 15:11:13
 0  0      0 416264   4916  33868    0    0     0     0 51092  254  0 10 90  0  0 2017-02-15 15:11:14
 0  0      0 416232   4916  33868    0    0     0     0 51114  245  0  9 92  0  0 2017-02-15 15:11:15
 0  0      0 416200   4916  33868    0    0     0     0 51315  233  0 10 90  0  0 2017-02-15 15:11:16
 0  0      0 416200   4916  33868    0    0     0     0 51300  251  0  9 92  0  0 2017-02-15 15:11:17
 1  0      0 416200   4916  33868    0    0     0     0 51351  244  0 11 89  0  0 2017-02-15 15:11:18
 0  0      0 416264   4916  33868    0    0     0     0 51214  231  0 10 90  0  0 2017-02-15 15:11:19
 0  0      0 416264   4916  33868    0    0     0     0 51212  224  0 10 91  0  0 2017-02-15 15:11:20
 0  0      0 416232   4916  33868    0    0     0     0 51603  242  0 12 89  0  0 2017-02-15 15:11:21
 0  0      0 416232   4916  33868    0    0     0     0 51240  252  0 10 90  0  0 2017-02-15 15:11:22
 0  0      0 416232   4916  33868    0    0     0     0 51368  262  0 13 88  0  0 2017-02-15 15:11:23
 0  0      0 416232   4916  33868    0    0     0     0 50933  226  0  9 92  0  0 2017-02-15 15:11:24
 0  0      0 416232   4916  33868    0    0     0     0 51167  231  0 11 90  0  0 2017-02-15 15:11:25
 0  0      0 416232   4916  33868    0    0     0     0 51378  229  0 11 89  0  0 2017-02-15 15:11:26
 0  0      0 416232   4916  33868    0    0     0     0 51075  238  0 11 90  0  0 2017-02-15 15:11:27
 0  0      0 416200   4916  33868    0    0     0     0 51148  180  0  8 93  0  0 2017-02-15 15:11:28
 0  0      0 416232   4916  33868    0    0     0     0 51025  215  0 12 89  0  0 2017-02-15 15:11:29
 0  0      0 416264   4916  33868    0    0     0     0 51017  212  0  8 93  0  0 2017-02-15 15:11:30
 0  0      0 416264   4916  33868    0    0     0     0 50863  239  0 11 89  0  0 2017-02-15 15:11:31
 0  0      0 416264   4916  33868    0    0     0     0 52188  204  0 10 91  0  0 2017-02-15 15:11:32
 0  0      0 416232   4916  33868    0    0     0     0 49451  192  0  9 92  0  0 2017-02-15 15:11:33
 0  0      0 416232   4916  33868    0    0     0     0 55014  184  0 12 88  0  0 2017-02-15 15:11:34
 0  0      0 416200   4916  33868    0    0     0     0 51282  146  0 11 89  0  0 2017-02-15 15:11:35
 0  0      0 416232   4916  33868    0    0     0     0 51144  166  0 11 90  0  0 2017-02-15 15:11:36
 0  0      0 416200   4916  33868    0    0     0     0 53668  155  0 11 89  0  0 2017-02-15 15:11:37
 1  0      0 416232   4916  33868    0    0     0     0 51564  176  0 14 87  0  0 2017-02-15 15:11:38
 0  0      0 416264   4916  33868    0    0     0     0 51597  159  0 11 90  0  0 2017-02-15 15:11:39
 0  0      0 416232   4916  33868    0    0     0     0 51765  194  0  8 92  0  0 2017-02-15 15:11:40
