1487175079
[H[JMem: 90680K used, 422104K free, 1056K shrd, 4916K buff, 21356K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 1/80 23237
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 422136   4916  33868    0    0     0     0   34   10  0  2 98  0  0 2017-02-15 16:11:20
 0  0      0 420352   4916  33868    0    0     0     0 53371  150  0 10 90  0  0 2017-02-15 16:11:21
 0  0      0 416960   4916  33868    0    0     0     0 53044  147  0 10 90  0  0 2017-02-15 16:11:22
 0  0      0 415600   4916  33868    0    0     0     0 53197  172  0 11 89  0  0 2017-02-15 16:11:23
 0  0      0 426632   4916  33868    0    0     0     0 53897  192  0 10 90  0  0 2017-02-15 16:11:24
 0  0      0 428568   4916  33868    0    0     0     0 53748  143  0 10 91  0  0 2017-02-15 16:11:25
 0  0      0 428624   4916  33868    0    0     0     0 54130  135  0 13 88  0  0 2017-02-15 16:11:26
 0  0      0 428656   4916  33868    0    0     0     0 53544  148  0 14 87  0  0 2017-02-15 16:11:27
 0  0      0 428624   4916  33868    0    0     0     0 52174  168  0  7 93  0  0 2017-02-15 16:11:28
 0  0      0 428592   4916  33868    0    0     0     0 52441  184  0  7 94  0  0 2017-02-15 16:11:29
 0  0      0 428736   4916  33868    0    0     0     0 55024  350  0 11 90  0  0 2017-02-15 16:11:30
 0  0      0 428768   4916  33868    0    0     0     0 53891  327  0 10 90  0  0 2017-02-15 16:11:31
 0  0      0 428736   4916  33868    0    0     0     0 54146  326  0 12 88  0  0 2017-02-15 16:11:32
 0  0      0 428768   4916  33868    0    0     0     0 56961  343  0 11 90  0  0 2017-02-15 16:11:33
 0  0      0 428736   4916  33868    0    0     0     0 51588  328  0 10 90  0  0 2017-02-15 16:11:34
 0  0      0 428576   4916  33868    0    0     0     0 56510  354  0 10 90  0  0 2017-02-15 16:11:35
 0  0      0 428576   4916  33868    0    0     0     0 55589  335  0 14 87  0  0 2017-02-15 16:11:36
 0  0      0 428576   4916  33868    0    0     0     0 54792  330  0 13 88  0  0 2017-02-15 16:11:37
 0  0      0 428576   4916  33868    0    0     0     0 49067  335  0 13 87  0  0 2017-02-15 16:11:38
 0  0      0 428576   4916  33868    0    0     0     0 59879  338  0 12 88  0  0 2017-02-15 16:11:39
 0  0      0 428576   4916  33868    0    0     0     0 48118  323  0 12 89  0  0 2017-02-15 16:11:40
 0  0      0 428576   4916  33868    0    0     0     0 60419  359  0 16 85  0  0 2017-02-15 16:11:41
 0  0      0 428576   4916  33868    0    0     0     0 56521  334  1 11 89  0  0 2017-02-15 16:11:42
 0  0      0 428544   4916  33868    0    0     0     0 54625  359  0 17 84  0  0 2017-02-15 16:11:43
 0  0      0 428576   4916  33868    0    0     0     0 53174  345  0 10 90  0  0 2017-02-15 16:11:44
 0  0      0 428448   4916  33868    0    0     0     0 54605  343  0 15 86  0  0 2017-02-15 16:11:45
 0  0      0 428320   4916  33868    0    0     0     0 54282  329  0 13 88  0  0 2017-02-15 16:11:46
 0  0      0 428256   4916  33868    0    0     0     0 54481  313  0 10 90  0  0 2017-02-15 16:11:47
 0  0      0 428224   4916  33868    0    0     0     0 54422  327  0 11 89  0  0 2017-02-15 16:11:48
 0  0      0 428224   4916  33868    0    0     0     0 53722  334  0 14 87  0  0 2017-02-15 16:11:49
 0  0      0 428192   4916  33868    0    0     0     0 54544  348  0 13 88  0  0 2017-02-15 16:11:50
 0  0      0 428192   4916  33868    0    0     0     0 54284  306  0 10 91  0  0 2017-02-15 16:11:51
 0  0      0 428192   4916  33868    0    0     0     0 54221  331  0 13 87  0  0 2017-02-15 16:11:52
 0  0      0 428160   4916  33868    0    0     0     0 54147  325  0 13 88  0  0 2017-02-15 16:11:53
 0  0      0 428192   4916  33868    0    0     0     0 55937  323  0 12 88  0  0 2017-02-15 16:11:54
 0  0      0 428192   4916  33868    0    0     0     0 55031  337  0 11 89  0  0 2017-02-15 16:11:55
 0  0      0 428192   4916  33872    0    0     0     0 53928  328  0 11 90  0  0 2017-02-15 16:11:56
 0  0      0 428224   4916  33872    0    0     0     0 54386  329  0 11 89  0  0 2017-02-15 16:11:57
 1  0      0 428224   4916  33872    0    0     0     0 54353  309  0 12 89  0  0 2017-02-15 16:11:58
 1  0      0 428192   4916  33872    0    0     0     0 54026  335  0  9 91  0  0 2017-02-15 16:11:59
 1  0      0 428192   4916  33872    0    0     0     0 53482  337  0 10 90  0  0 2017-02-15 16:12:00
 1  0      0 428192   4916  33872    0    0     0     0 56220  335  0 13 87  0  0 2017-02-15 16:12:01
 1  0      0 428192   4916  33872    0    0     0     0 53922  308  0 12 89  0  0 2017-02-15 16:12:02
 1  0      0 428224   4916  33872    0    0     0     0 54592  320  0 10 90  0  0 2017-02-15 16:12:03
 1  0      0 428192   4916  33872    0    0     0     0 55143  327  0 12 88  0  0 2017-02-15 16:12:04
 1  0      0 428192   4916  33872    0    0     0     0 53958  328  0  9 92  0  0 2017-02-15 16:12:05
 2  0      0 428192   4916  33872    0    0     0     0 54055  339  0 12 88  0  0 2017-02-15 16:12:06
 1  0      0 428160   4916  33872    0    0     0     0 52957  330  0 13 88  0  0 2017-02-15 16:12:07
 1  0      0 428192   4916  33872    0    0     0     0 55019  344  0 10 90  0  0 2017-02-15 16:12:08
 0  0      0 428192   4916  33872    0    0     0     0 55257  302  0 10 90  0  0 2017-02-15 16:12:09
 0  0      0 428192   4916  33872    0    0     0     0 53867  314  0 11 90  0  0 2017-02-15 16:12:10
 0  0      0 428192   4916  33872    0    0     0     0 53975  340  0 12 87  0  0 2017-02-15 16:12:11
 0  0      0 428160   4916  33872    0    0     0     0 56223  324  0 11 89  0  0 2017-02-15 16:12:12
 0  0      0 428192   4916  33872    0    0     0     0 54590  345  0 11 90  0  0 2017-02-15 16:12:13
 0  0      0 428224   4916  33872    0    0     0     0 55022  337  0 10 90  0  0 2017-02-15 16:12:14
 0  0      0 428192   4916  33872    0    0     0     0 53733  321  0 12 88  0  0 2017-02-15 16:12:15
 0  0      0 428192   4916  33872    0    0     0     0 54330  321  0  8 93  0  0 2017-02-15 16:12:16
 0  0      0 428192   4916  33872    0    0     0     0 55556  350  0 10 90  0  0 2017-02-15 16:12:17
 0  0      0 428192   4916  33872    0    0     0     0 53283  337  0  8 92  0  0 2017-02-15 16:12:18
 0  0      0 428224   4916  33872    0    0     0     0 54309  365  0 14 86  0  0 2017-02-15 16:12:19
 0  0      0 428224   4916  33872    0    0     0     0 54407  331  0 12 88  0  0 2017-02-15 16:12:20
 0  0      0 428192   4916  33872    0    0     0     0 54266  340  0 15 85  0  0 2017-02-15 16:12:21
 0  0      0 428192   4916  33872    0    0     0     0 54114  353  0 12 89  0  0 2017-02-15 16:12:22
 0  0      0 428192   4916  33872    0    0     0     0 54268  353  0 15 86  0  0 2017-02-15 16:12:23
 0  0      0 428192   4916  33872    0    0     0     0 54253  324  0 10 91  0  0 2017-02-15 16:12:24
 0  0      0 428192   4916  33872    0    0     0     0 54053  350  0 12 89  0  0 2017-02-15 16:12:25
 0  0      0 428192   4916  33872    0    0     0     0 54450  316  0 12 89  0  0 2017-02-15 16:12:26
 0  0      0 428192   4916  33872    0    0     0     0 55125  355  0 13 87  0  0 2017-02-15 16:12:27
 0  0      0 428192   4916  33872    0    0     0     0 53533  343  0 12 89  0  0 2017-02-15 16:12:28
 0  0      0 428192   4916  33872    0    0     0     0 55719  350  0 13 87  0  0 2017-02-15 16:12:29
 0  0      0 428192   4916  33872    0    0     0     0 52937  352  0 17 83  0  0 2017-02-15 16:12:30
 0  0      0 428160   4916  33872    0    0     0     0 55064  342  0 12 89  0  0 2017-02-15 16:12:31
 0  0      0 428192   4916  33872    0    0     0     0 54138  338  1 12 88  0  0 2017-02-15 16:12:32
 0  0      0 428192   4916  33872    0    0     0     0 54888  351  0 12 88  0  0 2017-02-15 16:12:33
 0  0      0 428160   4916  33872    0    0     0     0 54246  344  0 14 87  0  0 2017-02-15 16:12:34
 0  0      0 428096   4916  33872    0    0     0     0 54244  336  0 13 86  0  0 2017-02-15 16:12:35
 0  0      0 428064   4916  33876    0    0     0     0 54119  300  0  9 91  0  0 2017-02-15 16:12:36
 0  0      0 428096   4916  33876    0    0     0     0 54458  303  0 10 91  0  0 2017-02-15 16:12:37
 0  0      0 428096   4916  33876    0    0     0     0 53780  323  0 11 90  0  0 2017-02-15 16:12:38
 0  0      0 428032   4916  33876    0    0     0     0 54503  334  0  9 91  0  0 2017-02-15 16:12:39
 0  0      0 428000   4916  33876    0    0     0     0 54309  310  0 12 89  0  0 2017-02-15 16:12:40
 0  0      0 427872   4916  33876    0    0     0     0 53917  349  0 13 87  0  0 2017-02-15 16:12:41
 0  0      0 427840   4916  33876    0    0     0     0 54131  335  0  8 92  0  0 2017-02-15 16:12:42
 0  0      0 427808   4916  33876    0    0     0     0 54002  330  1 12 88  0  0 2017-02-15 16:12:43
 0  0      0 427776   4916  33876    0    0     0     0 54477  321  0 12 89  0  0 2017-02-15 16:12:44
 0  0      0 427776   4916  33876    0    0     0     0 54083  328  0 10 90  0  0 2017-02-15 16:12:45
 0  0      0 427776   4916  33876    0    0     0     0 53707  302  0  8 93  0  0 2017-02-15 16:12:46
