1487157037
[H[JMem: 96904K used, 415880K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/85 22577
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 415868   4916  33864    0    0     0     0   26    7  0  2 98  0  0 2017-02-15 11:10:37
 0  0      0 415904   4916  33868    0    0     0     0 51451  327  0 13 87  0  0 2017-02-15 11:10:38
 0  0      0 415904   4916  33868    0    0     0     0 50883  320  0 12 89  0  0 2017-02-15 11:10:39
 0  0      0 415872   4916  33868    0    0     0     0 50688  304  0 12 88  0  0 2017-02-15 11:10:40
 0  0      0 415904   4916  33868    0    0     0     0 51924  296  0 15 85  0  0 2017-02-15 11:10:41
 0  0      0 415904   4916  33868    0    0     0     0 51205  265  0 10 91  0  0 2017-02-15 11:10:42
 0  0      0 415904   4916  33868    0    0     0     0 51407  327  0 12 89  0  0 2017-02-15 11:10:43
 2  0      0 415872   4916  33868    0    0     0     0 51598  310  0 12 89  0  0 2017-02-15 11:10:44
 0  0      0 415872   4916  33868    0    0     0     0 50844  352  0 14 86  0  0 2017-02-15 11:10:45
 0  0      0 415872   4916  33868    0    0     0     0 50346  307  0 12 89  0  0 2017-02-15 11:10:46
 0  0      0 415872   4916  33868    0    0     0     0 51306  338  0 12 88  0  0 2017-02-15 11:10:47
 0  0      0 415872   4916  33868    0    0     0     0 51873  312  0 11 89  0  0 2017-02-15 11:10:48
 0  0      0 415872   4916  33868    0    0     0     0 51779  344  0 14 86  0  0 2017-02-15 11:10:49
 0  0      0 415872   4916  33868    0    0     0     0 51236  308  0 13 87  0  0 2017-02-15 11:10:50
 0  0      0 415872   4916  33868    0    0     0     0 51206  363  0 15 85  0  0 2017-02-15 11:10:51
 0  0      0 415872   4916  33868    0    0     0     0 42131  288  0 10 90  0  0 2017-02-15 11:10:52
 0  0      0 415840   4916  33868    0    0     0     0 52024  297  0 11 90  0  0 2017-02-15 11:10:53
 0  0      0 415872   4916  33868    0    0     0     0 62629  340  0 15 85  0  0 2017-02-15 11:10:54
 0  0      0 415872   4916  33868    0    0     0     0 49910  329  0 10 91  0  0 2017-02-15 11:10:55
 0  0      0 415872   4916  33868    0    0     0     0 51047  321  0 10 90  0  0 2017-02-15 11:10:56
 0  0      0 415904   4916  33868    0    0     0     0 51780  264  0 11 89  0  0 2017-02-15 11:10:57
 0  0      0 415872   4916  33868    0    0     0     0 51907  269  0  9 91  0  0 2017-02-15 11:10:58
 0  0      0 415904   4916  33868    0    0     0     0 51546  263  0 11 89  0  0 2017-02-15 11:10:59
 0  0      0 415872   4916  33868    0    0     0     0 51957  248  0 12 88  0  0 2017-02-15 11:11:00
 0  0      0 415904   4916  33868    0    0     0     0 52051  217  1 10 90  0  0 2017-02-15 11:11:01
 0  0      0 415872   4916  33868    0    0     0     0 51741  210  0 12 89  0  0 2017-02-15 11:11:02
 0  0      0 415936   4916  33868    0    0     0     0 51754  203  0  9 91  0  0 2017-02-15 11:11:03
 0  0      0 415936   4916  33868    0    0     0     0 52012  224  0 11 89  0  0 2017-02-15 11:11:04
 0  0      0 416000   4916  33868    0    0     0     0 51221  213  0 11 90  0  0 2017-02-15 11:11:05
 0  0      0 416000   4916  33868    0    0     0     0 51757  205  0 10 90  0  0 2017-02-15 11:11:06
 0  0      0 415968   4916  33868    0    0     0     0 51450  202  0 13 88  0  0 2017-02-15 11:11:07
 0  0      0 416000   4916  33868    0    0     0     0 51566  220  1 11 89  0  0 2017-02-15 11:11:08
 0  0      0 415968   4916  33868    0    0     0     0 51777  224  0 14 87  0  0 2017-02-15 11:11:09
 0  0      0 416000   4916  33868    0    0     0     0 51402  227  0 11 88  0  0 2017-02-15 11:11:10
 0  0      0 415968   4916  33868    0    0     0     0 51837  223  0 12 89  0  0 2017-02-15 11:11:11
 0  0      0 415968   4916  33868    0    0     0     0 51210  233  0 13 88  0  0 2017-02-15 11:11:12
 0  0      0 416096   4916  33872    0    0     0     0 51902  222  0 11 90  0  0 2017-02-15 11:11:13
 0  0      0 416128   4916  33872    0    0     0     0 52048  205  0 10 90  0  0 2017-02-15 11:11:14
 0  0      0 416096   4916  33872    0    0     0     0 51756  220  0 13 87  0  0 2017-02-15 11:11:15
 0  0      0 416096   4916  33872    0    0     0     0 51709  205  0 10 90  0  0 2017-02-15 11:11:16
 0  0      0 416064   4916  33872    0    0     0     0 51818  214  0 10 90  0  0 2017-02-15 11:11:17
 0  0      0 416128   4916  33872    0    0     0     0 51013  215  0 11 90  0  0 2017-02-15 11:11:18
 0  0      0 416128   4916  33872    0    0     0     0 51914  224  0 12 89  0  0 2017-02-15 11:11:19
 0  0      0 416128   4916  33872    0    0     0     0 52008  204  0 10 90  0  0 2017-02-15 11:11:20
 0  0      0 416128   4916  33872    0    0     0     0 51753  203  0 10 90  0  0 2017-02-15 11:11:21
 0  0      0 416160   4916  33872    0    0     0     0 51563  219  0 10 91  0  0 2017-02-15 11:11:22
 0  0      0 416224   4916  33872    0    0     0     0 50728  200  0 11 89  0  0 2017-02-15 11:11:23
 0  0      0 416160   4916  33872    0    0     0     0 52336  194  0  8 92  0  0 2017-02-15 11:11:24
 0  0      0 416160   4916  33872    0    0     0     0 51610  228  0 11 90  0  0 2017-02-15 11:11:25
 0  0      0 416160   4916  33872    0    0     0     0 52004  221  0 13 87  0  0 2017-02-15 11:11:26
 0  0      0 416160   4916  33872    0    0     0     0 52046  219  0 11 89  0  0 2017-02-15 11:11:27
 0  0      0 416224   4916  33872    0    0     0     0 52119  201  0 10 91  0  0 2017-02-15 11:11:28
 0  0      0 416192   4916  33872    0    0     0     0 51677  200  1 10 90  0  0 2017-02-15 11:11:29
 0  0      0 416224   4916  33872    0    0     0     0 51871  198  0 12 88  0  0 2017-02-15 11:11:30
 0  0      0 416224   4916  33872    0    0     0     0 51433  202  0 10 91  0  0 2017-02-15 11:11:31
 0  0      0 416192   4916  33872    0    0     0     0 51606  188  0 10 90  0  0 2017-02-15 11:11:32
 0  0      0 416192   4916  33872    0    0     0     0 51033  211  0 11 90  0  0 2017-02-15 11:11:33
 0  0      0 416256   4916  33872    0    0     0     0 52342  237  0 14 87  0  0 2017-02-15 11:11:34
 0  0      0 416256   4916  33872    0    0     0     0 50971  215  0 12 89  0  0 2017-02-15 11:11:35
 0  0      0 416288   4916  33872    0    0     0     0 51991  208  0 11 89  0  0 2017-02-15 11:11:36
 0  0      0 416256   4916  33872    0    0     0     0 51855  234  0 12 89  0  0 2017-02-15 11:11:37
 0  0      0 416256   4916  33872    0    0     0     0 52265  224  0 11 90  0  0 2017-02-15 11:11:38
 0  0      0 416256   4916  33872    0    0     0     0 51503  210  0 12 89  0  0 2017-02-15 11:11:39
 0  0      0 416384   4916  33872    0    0     0     0 51771  218  0 11 90  0  0 2017-02-15 11:11:40
 0  0      0 416320   4916  33872    0    0     0     0 51539  217  0 12 89  0  0 2017-02-15 11:11:41
 0  0      0 416384   4916  33872    0    0     0     0 51390  214  0 12 89  0  0 2017-02-15 11:11:42
 0  0      0 416320   4916  33872    0    0     0     0 51633  216  0 11 90  0  0 2017-02-15 11:11:43
 0  0      0 416352   4916  33872    0    0     0     0 50874  202  0 11 90  0  0 2017-02-15 11:11:44
 0  0      0 416352   4916  33872    0    0     0     0 51408  208  0 10 90  0  0 2017-02-15 11:11:45
 0  0      0 416352   4916  33872    0    0     0     0 52612  209  0 14 87  0  0 2017-02-15 11:11:46
 0  0      0 416320   4916  33872    0    0     0     0 52036  234  0 14 86  0  0 2017-02-15 11:11:47
 0  0      0 416320   4916  33872    0    0     0     0 52001  210  0 10 90  0  0 2017-02-15 11:11:48
 0  0      0 416352   4916  33872    0    0     0     0 52256  217  0 11 90  0  0 2017-02-15 11:11:49
 0  0      0 416384   4916  33872    0    0     0     0 53476  208  1 10 90  0  0 2017-02-15 11:11:50
 0  0      0 416352   4916  33872    0    0     0     0 51446  205  0 11 89  0  0 2017-02-15 11:11:51
 0  0      0 416352   4916  33872    0    0     0     0 51948  202  0 10 91  0  0 2017-02-15 11:11:52
 0  0      0 416384   4916  33876    0    0     0     0 51715  229  0 14 87  0  0 2017-02-15 11:11:53
 0  0      0 416448   4916  33876    0    0     0     0 51852  229  0 12 88  0  0 2017-02-15 11:11:54
 0  0      0 416448   4916  33876    0    0     0     0 51559  214  0 12 89  0  0 2017-02-15 11:11:55
 0  0      0 416448   4916  33876    0    0     0     0 51593  220  0 10 91  0  0 2017-02-15 11:11:56
 0  0      0 416480   4916  33876    0    0     0     0 51438  210  0  9 91  0  0 2017-02-15 11:11:57
 0  0      0 416416   4916  33876    0    0     0     0 51391  216  0 10 91  0  0 2017-02-15 11:11:58
 0  0      0 416448   4916  33876    0    0     0     0 51781  216  1 11 89  0  0 2017-02-15 11:11:59
 0  0      0 416448   4916  33876    0    0     0     0 51377  196  0  8 92  0  0 2017-02-15 11:12:00
 0  0      0 416448   4916  33876    0    0     0     0 51763  239  0 14 86  0  0 2017-02-15 11:12:01
 0  0      0 416480   4916  33876    0    0     0     0 51550  203  0 13 87  0  0 2017-02-15 11:12:02
 0  0      0 416480   4916  33876    0    0     0     0 52212  225  0 10 90  0  0 2017-02-15 11:12:03
 0  0      0 416480   4916  33876    0    0     0     0 43169  194  0  9 91  0  0 2017-02-15 11:12:04
 0  0      0 416480   4916  33876    0    0     0     0 59461  228  0 12 88  0  0 2017-02-15 11:12:05
 0  0      0 416544   4916  33876    0    0     0     0 41728  207  0 10 90  0  0 2017-02-15 11:12:06
 0  0      0 416512   4916  33876    0    0     0     0 34866  173  0  6 95  0  0 2017-02-15 11:12:07
 0  0      0 416512   4916  33876    0    0     0     0 37900  227  0 10 90  0  0 2017-02-15 11:12:08
 0  0      0 416544   4916  33876    0    0     0     0 56772  201  0 10 91  0  0 2017-02-15 11:12:09
 0  0      0 416544   4916  33876    0    0     0     0 69245  244  0 17 84  0  0 2017-02-15 11:12:10
 0  0      0 416544   4916  33876    0    0     0     0 78397  233  0 19 82  0  0 2017-02-15 11:12:11
 0  0      0 416512   4916  33876    0    0     0     0 50417  202  0 13 88  0  0 2017-02-15 11:12:12
 0  0      0 416544   4916  33876    0    0     0     0 51850  203  0 12 88  0  0 2017-02-15 11:12:13
 0  0      0 416544   4916  33876    0    0     0     0 51703  230  0 11 89  0  0 2017-02-15 11:12:14
 0  0      0 416576   4916  33876    0    0     0     0 52730  209  0 11 89  0  0 2017-02-15 11:12:15
 0  0      0 416512   4916  33876    0    0     0     0 53620  221  0 11 90  0  0 2017-02-15 11:12:16
 0  0      0 416512   4916  33876    0    0     0     0 50588  195  0 10 91  0  0 2017-02-15 11:12:17
