1487178687
[H[JMem: 99088K used, 413696K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   4% usr   0% sys   0% nic  95% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/85 23352
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 413696   4916  33864    0    0     0     0   16   11  0  2 98  0  0 2017-02-15 17:11:27
 0  0      0 413720   4916  33868    0    0     0     0 57057  247  0 11 89  0  0 2017-02-15 17:11:28
 0  0      0 413720   4916  33868    0    0     0     0 56465  279  0 10 91  0  0 2017-02-15 17:11:29
 0  0      0 413688   4916  33868    0    0     0     0 56992  277  0 11 90  0  0 2017-02-15 17:11:30
 0  0      0 413656   4916  33868    0    0     0     0 56868  297  0  7 94  0  0 2017-02-15 17:11:31
 0  0      0 413688   4916  33868    0    0     0     0 56989  286  0 10 90  0  0 2017-02-15 17:11:32
 0  0      0 413656   4916  33868    0    0     0     0 56788  304  1 12 88  0  0 2017-02-15 17:11:33
 0  0      0 413624   4916  33868    0    0     0     0 57710  317  0 13 87  0  0 2017-02-15 17:11:34
 0  0      0 413624   4916  33868    0    0     0     0 57992  290  0 13 87  0  0 2017-02-15 17:11:35
 0  0      0 413624   4916  33868    0    0     0     0 57595  278  0 12 88  0  0 2017-02-15 17:11:36
 0  0      0 413688   4916  33868    0    0     0     0 57475  275  0  9 92  0  0 2017-02-15 17:11:37
 0  0      0 413688   4916  33868    0    0     0     0 57078  245  0 11 90  0  0 2017-02-15 17:11:38
 0  0      0 413720   4916  33868    0    0     0     0 57244  280  0 11 90  0  0 2017-02-15 17:11:39
 0  0      0 413688   4916  33868    0    0     0     0 56980  300  1  7 93  0  0 2017-02-15 17:11:40
 0  0      0 413720   4916  33868    0    0     0     0 56930  252  0 11 89  0  0 2017-02-15 17:11:41
 0  0      0 413720   4916  33868    0    0     0     0 56611  291  0 10 91  0  0 2017-02-15 17:11:42
 0  0      0 413752   4916  33868    0    0     0     0 57185  302  0 14 87  0  0 2017-02-15 17:11:43
 0  0      0 413720   4916  33868    0    0     0     0 56485  282  0  9 92  0  0 2017-02-15 17:11:44
 0  0      0 413688   4916  33868    0    0     0     0 56796  317  0 12 89  0  0 2017-02-15 17:11:45
 0  0      0 413720   4916  33868    0    0     0     0 55995  285  0 10 90  0  0 2017-02-15 17:11:46
 0  0      0 413752   4916  33868    0    0     0     0 57839  319  0 10 90  0  0 2017-02-15 17:11:47
 0  0      0 413752   4916  33868    0    0     0     0 57518  289  0 13 87  0  0 2017-02-15 17:11:48
 0  0      0 413720   4916  33868    0    0     0     0 58147  367  0 12 89  0  0 2017-02-15 17:11:49
 0  0      0 413688   4916  33868    0    0     0     0 56982  312  0 13 88  0  0 2017-02-15 17:11:50
 0  0      0 413784   4916  33868    0    0     0     0 58297  269  0 10 91  0  0 2017-02-15 17:11:51
 0  0      0 413784   4916  33868    0    0     0     0 57699  268  0 10 90  0  0 2017-02-15 17:11:52
 0  0      0 413784   4916  33868    0    0     0     0 57556  236  0  8 92  0  0 2017-02-15 17:11:53
 0  0      0 413784   4916  33868    0    0     0     0 57215  268  0 13 88  0  0 2017-02-15 17:11:54
 0  0      0 413752   4916  33868    0    0     0     0 56947  241  0  9 92  0  0 2017-02-15 17:11:55
 0  0      0 413784   4916  33868    0    0     0     0 57509  246  1  8 92  0  0 2017-02-15 17:11:56
 0  0      0 413784   4916  33868    0    0     0     0 55604  241  0 12 89  0  0 2017-02-15 17:11:57
 0  0      0 413752   4916  33868    0    0     0     0 57415  268  0 15 85  0  0 2017-02-15 17:11:58
 0  0      0 413816   4916  33868    0    0     0     0 57565  249  0  9 91  0  0 2017-02-15 17:11:59
 0  0      0 413816   4916  33868    0    0     0     0 61132  249  0 11 89  0  0 2017-02-15 17:12:00
 0  0      0 413816   4916  33868    0    0     0     0 57573  239  0 13 88  0  0 2017-02-15 17:12:01
