1487160645
[H[JMem: 93636K used, 419148K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/85 22713
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419196   4916  33864    0    0     0     0    2    7  0  2 98  0  0 2017-02-15 12:10:45
 0  0      0 416760   4916  33868    0    0     0     0 57220  251  0 11 90  0  0 2017-02-15 12:10:46
 0  0      0 411328   4916  33868    0    0     0     0 56656  261  0 15 85  0  0 2017-02-15 12:10:47
 0  0      0 415272   4916  33868    0    0     0     0 56979  250  0 10 91  0  0 2017-02-15 12:10:48
 0  0      0 426120   4916  33868    0    0     0     0 57232  349  0 14 87  0  0 2017-02-15 12:10:49
 0  0      0 426088   4916  33868    0    0     0     0 57374  233  0 13 88  0  0 2017-02-15 12:10:50
 0  0      0 426284   4916  33868    0    0     0     0 57044  275  0 13 88  0  0 2017-02-15 12:10:51
 0  0      0 426420   4916  33868    0    0     0     0 57182  259  0 11 89  0  0 2017-02-15 12:10:52
 0  0      0 426376   4916  33868    0    0     0     0 57081  277  0 13 88  0  0 2017-02-15 12:10:53
 0  0      0 426344   4916  33868    0    0     0     0 57233  402  0 13 87  0  0 2017-02-15 12:10:54
 0  0      0 426376   4916  33868    0    0     0     0 57679  446  0 13 88  0  0 2017-02-15 12:10:55
 0  0      0 426376   4916  33868    0    0     0     0 57726  445  0 10 91  0  0 2017-02-15 12:10:56
 1  0      0 426312   4916  33868    0    0     0     0 58476  463  1 13 87  0  0 2017-02-15 12:10:57
 0  0      0 426312   4916  33868    0    0     0     0 58457  452  0 13 87  0  0 2017-02-15 12:10:58
 0  0      0 426312   4916  33868    0    0     0     0 58097  452  0 15 85  0  0 2017-02-15 12:10:59
 0  0      0 426312   4916  33868    0    0     0     0 58018  470  0 13 87  0  0 2017-02-15 12:11:00
 0  0      0 426312   4916  33868    0    0     0     0 58231  435  0 10 90  0  0 2017-02-15 12:11:01
 0  0      0 426248   4916  33868    0    0     0     0 57638  435  0 11 89  0  0 2017-02-15 12:11:02
 0  0      0 426280   4916  33868    0    0     0     0 57938  428  0 12 88  0  0 2017-02-15 12:11:03
 0  0      0 426248   4916  33868    0    0     0     0 57918  418  0 18 83  0  0 2017-02-15 12:11:04
 0  0      0 426280   4916  33868    0    0     0     0 58475  425  0 14 86  0  0 2017-02-15 12:11:05
 0  0      0 426280   4916  33868    0    0     0     0 56923  398  0 12 89  0  0 2017-02-15 12:11:06
 0  0      0 426248   4916  33868    0    0     0     0 58119  439  0 10 90  0  0 2017-02-15 12:11:07
 0  0      0 426280   4916  33868    0    0     0     0 57626  429  0 12 88  0  0 2017-02-15 12:11:08
 0  0      0 426280   4916  33868    0    0     0     0 57729  422  0 14 86  0  0 2017-02-15 12:11:09
 0  0      0 426280   4916  33868    0    0     0     0 57831  429  0 15 85  0  0 2017-02-15 12:11:10
 0  0      0 426280   4916  33868    0    0     0     0 57763  428  0 13 88  0  0 2017-02-15 12:11:11
 0  0      0 426280   4916  33868    0    0     0     0 57814  417  0 11 89  0  0 2017-02-15 12:11:12
 0  0      0 426280   4916  33868    0    0     0     0 57708  450  0 15 86  0  0 2017-02-15 12:11:13
 0  0      0 426280   4916  33868    0    0     0     0 57960  391  0 10 90  0  0 2017-02-15 12:11:14
 0  0      0 426280   4916  33868    0    0     0     0 57856  418  0 11 90  0  0 2017-02-15 12:11:15
 0  0      0 426280   4916  33868    0    0     0     0 57920  428  1 14 86  0  0 2017-02-15 12:11:16
 0  0      0 426312   4916  33868    0    0     0     0 57699  429  0 14 86  0  0 2017-02-15 12:11:17
 0  0      0 426280   4916  33868    0    0     0     0 57846  403  0 13 88  0  0 2017-02-15 12:11:18
 0  0      0 426280   4916  33868    0    0     0     0 57757  428  0 12 88  0  0 2017-02-15 12:11:19
 1  0      0 426280   4916  33868    0    0     0     0 57851  402  0 14 87  0  0 2017-02-15 12:11:20
 0  0      0 426280   4916  33872    0    0     0     0 57805  408  0 11 90  0  0 2017-02-15 12:11:21
 0  0      0 426248   4916  33872    0    0     0     0 57966  416  0 13 88  0  0 2017-02-15 12:11:22
 0  0      0 426280   4916  33872    0    0     0     0 57843  372  0 12 88  0  0 2017-02-15 12:11:23
 0  0      0 426280   4916  33872    0    0     0     0 57765  448  0 14 86  0  0 2017-02-15 12:11:24
 0  0      0 426248   4916  33872    0    0     0     0 58061  417  1 11 89  0  0 2017-02-15 12:11:25
 0  0      0 426248   4916  33872    0    0     0     0 58100  432  0 13 88  0  0 2017-02-15 12:11:26
 1  0      0 426216   4916  33872    0    0     0     0 57800  445  0 13 87  0  0 2017-02-15 12:11:27
 0  0      0 426216   4916  33872    0    0     0     0 57431  410  0 13 87  0  0 2017-02-15 12:11:28
 0  0      0 426216   4916  33872    0    0     0     0 58550  458  0 15 85  0  0 2017-02-15 12:11:29
 0  0      0 426216   4916  33872    0    0     0     0 60810  452  0 10 91  0  0 2017-02-15 12:11:30
 0  0      0 426216   4916  33872    0    0     0     0 58759  464  0 13 87  0  0 2017-02-15 12:11:31
 1  0      0 426184   4916  33872    0    0     0     0 57654  439  0 10 90  0  0 2017-02-15 12:11:32
 0  0      0 426152   4916  33872    0    0     0     0 60674  470  0 14 86  0  0 2017-02-15 12:11:33
 0  0      0 426184   4916  33872    0    0     0     0 57242  431  0 10 91  0  0 2017-02-15 12:11:34
 0  0      0 426184   4916  33872    0    0     0     0 58129  451  0 16 85  0  0 2017-02-15 12:11:35
