1487185905
[H[JMem: 98812K used, 413972K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.01 0.01 0.00 2/85 23623
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 413968   4916  33864    0    0     0     0    8   12  0  2 98  0  0 2017-02-15 19:11:45
 0  0      0 413964   4916  33868    0    0     0     0 57138  283  0 11 89  0  0 2017-02-15 19:11:46
 0  0      0 414060   4916  33868    0    0     0     0 57450  329  0 14 87  0  0 2017-02-15 19:11:47
 0  0      0 413996   4916  33868    0    0     0     0 56231  288  0 13 88  0  0 2017-02-15 19:11:48
 0  0      0 414060   4916  33868    0    0     0     0 56809  282  0 10 90  0  0 2017-02-15 19:11:49
 0  0      0 413964   4916  33868    0    0     0     0 57613  317  0 12 88  0  0 2017-02-15 19:11:50
 0  0      0 414028   4916  33868    0    0     0     0 56848  257  0 11 89  0  0 2017-02-15 19:11:51
 0  0      0 413964   4916  33868    0    0     0     0 57144  292  0 10 91  0  0 2017-02-15 19:11:52
 0  0      0 413964   4916  33868    0    0     0     0 56975  273  0 10 90  0  0 2017-02-15 19:11:53
 0  0      0 413964   4916  33868    0    0     0     0 57048  271  0  9 91  0  0 2017-02-15 19:11:54
 0  0      0 413996   4916  33868    0    0     0     0 57495  299  0 13 87  0  0 2017-02-15 19:11:55
 0  0      0 413932   4916  33868    0    0     0     0 57098  288  0  9 92  0  0 2017-02-15 19:11:56
 0  0      0 413964   4916  33868    0    0     0     0 56960  264  0  7 93  0  0 2017-02-15 19:11:57
 0  0      0 413932   4916  33868    0    0     0     0 55273  286  0 11 90  0  0 2017-02-15 19:11:58
 0  0      0 413964   4916  33868    0    0     0     0 57745  323  0 12 89  0  0 2017-02-15 19:11:59
 0  0      0 413964   4916  33868    0    0     0     0 57495  288  0 10 91  0  0 2017-02-15 19:12:00
 0  0      0 413964   4916  33868    0    0     0     0 57576  280  0 11 90  0  0 2017-02-15 19:12:01
 0  0      0 413964   4916  33868    0    0     0     0 57538  322  0  9 91  0  0 2017-02-15 19:12:02
 0  0      0 413996   4916  33868    0    0     0     0 57054  309  0 11 89  0  0 2017-02-15 19:12:03
 1  0      0 413996   4916  33868    0    0     0     0 56711  295  0 10 91  0  0 2017-02-15 19:12:04
 0  0      0 413996   4916  33868    0    0     0     0 57709  287  0 12 89  0  0 2017-02-15 19:12:05
 1  0      0 413996   4916  33868    0    0     0     0 57364  308  0 12 89  0  0 2017-02-15 19:12:06
 0  0      0 413996   4916  33868    0    0     0     0 57160  228  0 11 90  0  0 2017-02-15 19:12:07
 1  0      0 413996   4916  33868    0    0     0     0 57189  224  0 10 90  0  0 2017-02-15 19:12:08
 0  0      0 414028   4916  33868    0    0     0     0 56772  191  1 12 88  0  0 2017-02-15 19:12:09
 0  0      0 413996   4916  33868    0    0     0     0 57595  228  0 12 88  0  0 2017-02-15 19:12:10
 1  0      0 413996   4916  33868    0    0     0     0 56503  256  0 14 87  0  0 2017-02-15 19:12:11
 0  0      0 413996   4916  33868    0    0     0     0 58258  244  0 16 85  0  0 2017-02-15 19:12:12
 0  0      0 413964   4916  33868    0    0     0     0 57071  221  0 12 89  0  0 2017-02-15 19:12:13
 0  0      0 414028   4916  33868    0    0     0     0 57716  236  0 12 88  0  0 2017-02-15 19:12:14
 0  0      0 413996   4916  33868    0    0     0     0 57289  276  0 14 87  0  0 2017-02-15 19:12:15
 0  0      0 413996   4916  33868    0    0     0     0 57118  252  0 13 87  0  0 2017-02-15 19:12:16
 0  0      0 413964   4916  33868    0    0     0     0 57072  226  0 14 87  0  0 2017-02-15 19:12:17
