1487189514
[H[JMem: 93344K used, 419440K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.07 0.02 0.00 2/85 23766
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419412   4916  33864    0    0     0     0    1   13  0  2 98  0  0 2017-02-15 20:11:54
 0  0      0 417576   4916  33868    0    0     0     0 51625  258  0 15 85  0  0 2017-02-15 20:11:55
 0  0      0 412344   4916  33868    0    0     0     0 51457  247  0 15 85  0  0 2017-02-15 20:11:56
 0  0      0 415080   4916  33868    0    0     0     0 51499  267  0 16 84  0  0 2017-02-15 20:11:57
 0  0      0 425868   4916  33868    0    0     0     0 52370  293  0 11 89  0  0 2017-02-15 20:11:58
 0  0      0 425860   4916  33868    0    0     0     0 51845  219  0 10 90  0  0 2017-02-15 20:11:59
 0  0      0 425716   4916  33868    0    0     0     0 51302  249  0 14 86  0  0 2017-02-15 20:12:00
 0  0      0 425708   4916  33868    0    0     0     0 51582  221  0 13 87  0  0 2017-02-15 20:12:01
 0  0      0 425612   4916  33868    0    0     0     0 51404  222  0 12 88  0  0 2017-02-15 20:12:02
 0  0      0 425580   4916  33868    0    0     0     0 51436  279  0 14 86  0  0 2017-02-15 20:12:03
 0  0      0 425548   4916  33868    0    0     0     0 51923  375  1 14 86  0  0 2017-02-15 20:12:04
 0  0      0 425452   4916  33868    0    0     0     0 52250  424  0 11 89  0  0 2017-02-15 20:12:05
 0  0      0 425452   4916  33868    0    0     0     0 52279  420  0 10 91  0  0 2017-02-15 20:12:06
 0  0      0 425452   4916  33868    0    0     0     0 52332  413  0 12 89  0  0 2017-02-15 20:12:07
 0  0      0 425452   4916  33868    0    0     0     0 52262  430  0 13 88  0  0 2017-02-15 20:12:08
 0  0      0 425588   4916  33868    0    0     0     0 52249  411  0 12 89  0  0 2017-02-15 20:12:09
 0  0      0 425556   4916  33868    0    0     0     0 52907  420  0 11 89  0  0 2017-02-15 20:12:10
 0  0      0 425372   4916  33868    0    0     0     0 51577  410  1 13 87  0  0 2017-02-15 20:12:11
 0  0      0 425372   4916  33868    0    0     0     0 52308  414  0 12 88  0  0 2017-02-15 20:12:12
 0  0      0 425372   4916  33868    0    0     0     0 52157  410  0 11 90  0  0 2017-02-15 20:12:13
 0  0      0 425284   4916  33868    0    0     0     0 52337  411  0 11 90  0  0 2017-02-15 20:12:14
 0  0      0 425220   4916  33868    0    0     0     0 52268  432  0 18 83  0  0 2017-02-15 20:12:15
 0  0      0 425220   4916  33868    0    0     0     0 52281  407  0 14 87  0  0 2017-02-15 20:12:16
 0  0      0 425188   4916  33868    0    0     0     0 52233  436  0 17 84  0  0 2017-02-15 20:12:17
 0  0      0 425188   4916  33868    0    0     0     0 52122  395  0 10 90  0  0 2017-02-15 20:12:18
 0  0      0 425124   4916  33868    0    0     0     0 52368  424  0 13 88  0  0 2017-02-15 20:12:19
 0  0      0 424932   4916  33868    0    0     0     0 52300  449  0 15 85  0  0 2017-02-15 20:12:20
 0  0      0 424932   4916  33868    0    0     0     0 52320  420  0 12 87  0  0 2017-02-15 20:12:21
 0  0      0 424868   4916  33868    0    0     0     0 52105  457  0 13 87  0  0 2017-02-15 20:12:22
 0  0      0 424836   4916  33868    0    0     0     0 52091  411  0 12 89  0  0 2017-02-15 20:12:23
 0  0      0 424900   4916  33868    0    0     0     0 52157  418  0 14 87  0  0 2017-02-15 20:12:24
 0  0      0 424740   4916  33868    0    0     0     0 52217  463  0 13 87  0  0 2017-02-15 20:12:25
 0  0      0 424708   4916  33868    0    0     0     0 52260  450  0 14 86  0  0 2017-02-15 20:12:26
 0  0      0 424708   4916  33868    0    0     0     0 52220  421  0 17 83  0  0 2017-02-15 20:12:27
 0  0      0 424708   4916  33868    0    0     0     0 52385  416  0 10 91  0  0 2017-02-15 20:12:28
 0  0      0 424580   4916  33868    0    0     0     0 52322  436  0 14 86  0  0 2017-02-15 20:12:29
 0  0      0 424580   4916  33872    0    0     0     0 52403  390  0  7 94  0  0 2017-02-15 20:12:30
 0  0      0 424516   4916  33872    0    0     0     0 52274  422  0 12 89  0  0 2017-02-15 20:12:31
 0  0      0 424516   4916  33872    0    0     0     0 52936  428  0  9 92  0  0 2017-02-15 20:12:32
 0  0      0 424516   4916  33872    0    0     0     0 52458  407  0 15 86  0  0 2017-02-15 20:12:33
 0  0      0 424356   4916  33872    0    0     0     0 52361  432  0 13 87  0  0 2017-02-15 20:12:34
 0  0      0 424260   4916  33872    0    0     0     0 53263  438  0 14 87  0  0 2017-02-15 20:12:35
 0  0      0 424292   4916  33872    0    0     0     0 54228  436  0 16 84  0  0 2017-02-15 20:12:36
 0  0      0 424292   4916  33872    0    0     0     0 51907  407  0  9 92  0  0 2017-02-15 20:12:37
 0  0      0 424292   4916  33872    0    0     0     0 54454  437  0 14 86  0  0 2017-02-15 20:12:38
 0  0      0 424292   4916  33872    0    0     0     0 51892  417  0 12 89  0  0 2017-02-15 20:12:39
 0  0      0 424164   4916  33872    0    0     0     0 53232  419  1  9 91  0  0 2017-02-15 20:12:40
 0  0      0 424164   4916  33872    0    0     0     0 53933  412  0 14 86  0  0 2017-02-15 20:12:41
 0  0      0 424036   4916  33872    0    0     0     0 51526  415  0 10 91  0  0 2017-02-15 20:12:42
 0  0      0 424068   4916  33872    0    0     0     0 53908  413  0 15 86  0  0 2017-02-15 20:12:43
 0  0      0 424068   4916  33872    0    0     0     0 51268  407  0 10 90  0  0 2017-02-15 20:12:44
