1487106521
[H[JMem: 84052K used, 428732K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/84 20797
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 428788   4916  33880    0    0     0     0   13   32  0  0 100  0  0 2017-02-14 21:08:41
 0  0      0 429396   4916  33884    0    0     0     0 94959  263  0 19 81  0  0 2017-02-14 21:08:42
 0  0      0 429332   4916  33884    0    0     0     0 96630  220  0 20 80  0  0 2017-02-14 21:08:43
 0  0      0 429364   4916  33884    0    0     0     0 96916  228  1 22 78  0  0 2017-02-14 21:08:44
 0  0      0 429364   4916  33884    0    0     0     0 96643  231  0 23 78  0  0 2017-02-14 21:08:45
 0  0      0 429364   4916  33884    0    0     0     0 96720  263  0 28 72  0  0 2017-02-14 21:08:46
 0  0      0 429300   4916  33884    0    0     0     0 96766  217  0 17 83  0  0 2017-02-14 21:08:47
 0  0      0 429300   4916  33884    0    0     0     0 96812  204  0 22 78  0  0 2017-02-14 21:08:48
 0  0      0 429268   4916  33884    0    0     0     0 96698  201  0 19 82  0  0 2017-02-14 21:08:49
 0  0      0 429300   4916  33884    0    0     0     0 96747  237  0 21 80  0  0 2017-02-14 21:08:50
 0  0      0 429268   4916  33884    0    0     0     0 96657  297  0 24 76  0  0 2017-02-14 21:08:51
 0  0      0 429140   4916  33884    0    0     0     0 96867  274  0 22 78  0  0 2017-02-14 21:08:52
 0  0      0 429012   4916  33884    0    0     0     0 96754  277  0 25 75  0  0 2017-02-14 21:08:53
 0  0      0 429044   4916  33884    0    0     0     0 96837  253  0 21 79  0  0 2017-02-14 21:08:54
 0  0      0 428916   4916  33884    0    0     0     0 96784  270  1 22 78  0  0 2017-02-14 21:08:55
 0  0      0 428852   4916  33884    0    0     0     0 96927  228  0 17 84  0  0 2017-02-14 21:08:56
 0  0      0 428852   4916  33884    0    0     0     0 96946  202  0 19 81  0  0 2017-02-14 21:08:57
 0  0      0 428788   4916  33884    0    0     0     0 96999  234  0 21 80  0  0 2017-02-14 21:08:58
 0  0      0 428820   4916  33884    0    0     0     0 97010  226  0 20 80  0  0 2017-02-14 21:08:59
 0  0      0 428820   4916  33884    0    0     0     0 96868  233  0 22 78  0  0 2017-02-14 21:09:00
 0  0      0 428788   4916  33884    0    0     0     0 96721  216  0 21 79  0  0 2017-02-14 21:09:01
 0  0      0 428788   4916  33884    0    0     0     0 96664  219  0 25 76  0  0 2017-02-14 21:09:02
 0  0      0 428756   4916  33884    0    0     0     0 96900  219  1 21 79  0  0 2017-02-14 21:09:03
 0  0      0 428724   4916  33884    0    0     0     0 96903  209  0 24 76  0  0 2017-02-14 21:09:04
 0  0      0 428692   4916  33884    0    0     0     0 96854  235  0 22 79  0  0 2017-02-14 21:09:05
 0  0      0 428724   4916  33884    0    0     0     0 96879  216  0 21 80  0  0 2017-02-14 21:09:06
 0  0      0 428692   4916  33884    0    0     0     0 96920  196  0 20 81  0  0 2017-02-14 21:09:07
 0  0      0 428692   4916  33884    0    0     0     0 96723  233  0 28 73  0  0 2017-02-14 21:09:08
 0  0      0 428628   4916  33884    0    0     0     0 96896  208  0 20 81  0  0 2017-02-14 21:09:09
 0  0      0 428628   4916  33884    0    0     0     0 96744  196  0 24 77  0  0 2017-02-14 21:09:10
 0  0      0 428564   4916  33884    0    0     0     0 96618  208  0 19 80  0  0 2017-02-14 21:09:11
 0  0      0 428500   4916  33884    0    0     0     0 96689  234  0 23 78  0  0 2017-02-14 21:09:12
 0  0      0 428500   4916  33884    0    0     0     0 96618  221  0 20 81  0  0 2017-02-14 21:09:13
 0  0      0 428436   4916  33884    0    0     0     0 96434  193  0 17 83  0  0 2017-02-14 21:09:14
 0  0      0 428372   4916  33884    0    0     0     0 96510  269  0 25 76  0  0 2017-02-14 21:09:15
 0  0      0 428244   4916  33884    0    0     0     0 96647  222  0 19 82  0  0 2017-02-14 21:09:16
 0  0      0 428180   4916  33888    0    0     0     0 96817  205  0 20 80  0  0 2017-02-14 21:09:17
 0  0      0 428180   4916  33888    0    0     0     0 96790  226  0 23 77  0  0 2017-02-14 21:09:18
 0  0      0 428052   4916  33888    0    0     0     0 96651  267  0 22 78  0  0 2017-02-14 21:09:19
 0  0      0 428052   4916  33888    0    0     0     0 96570  262  0 21 79  0  0 2017-02-14 21:09:20
 0  0      0 428020   4916  33888    0    0     0     0 96599  285  0 20 81  0  0 2017-02-14 21:09:21
 0  0      0 427892   4916  33888    0    0     0     0 96722  265  1 22 78  0  0 2017-02-14 21:09:22
 0  0      0 427924   4916  33888    0    0     0     0 96825  257  0 24 76  0  0 2017-02-14 21:09:23
 0  0      0 427924   4916  33888    0    0     0     0 96647  248  0 22 78  0  0 2017-02-14 21:09:24
 0  0      0 427924   4916  33888    0    0     0     0 96583  276  0 26 75  0  0 2017-02-14 21:09:25
