1487110128
[H[JMem: 91032K used, 421752K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic  95% idle   0% io   0% irq   5% sirq
Load average: 0.00 0.00 0.00 1/80 20895
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 421824   4916  33864    0    0     0     0   17   32  0  0 100  0  0 2017-02-14 22:08:48
 0  0      0 418320   4916  33868    0    0     0     0 97127  257  0 23 77  0  0 2017-02-14 22:08:49
 0  0      0 409660   4916  33868    0    0     0     0 97933  222  0 21 79  0  0 2017-02-14 22:08:50
 0  0      0 412576   4916  33868    0    0     0     0 98497  265  0 25 75  0  0 2017-02-14 22:08:51
 0  0      0 428784   4916  33868    0    0     0     0 98093  348  0 22 79  0  0 2017-02-14 22:08:52
 0  0      0 429148   4916  33868    0    0     0     0 99557  254  0 23 78  0  0 2017-02-14 22:08:53
 0  0      0 429116   4916  33868    0    0     0     0 99698  222  0 23 78  0  0 2017-02-14 22:08:54
 1  0      0 429224   4916  33868    0    0     0     0 99121  256  0 21 80  0  0 2017-02-14 22:08:55
 0  0      0 429200   4916  33868    0    0     0     0 98795  291  0 23 77  0  0 2017-02-14 22:08:56
 0  0      0 429176   4916  33868    0    0     0     0 99081  269  1 23 77  0  0 2017-02-14 22:08:57
 0  0      0 429208   4916  33868    0    0     0     0 98775  445  0 18 82  0  0 2017-02-14 22:08:58
 0  0      0 429176   4916  33868    0    0     0     0 98824  449  0 25 76  0  0 2017-02-14 22:08:59
 0  0      0 429144   4916  33868    0    0     0     0 98726  452  0 23 77  0  0 2017-02-14 22:09:00
 0  0      0 429016   4916  33868    0    0     0     0 98608  420  0 23 77  0  0 2017-02-14 22:09:01
 0  0      0 429016   4916  33868    0    0     0     0 98932  420  0 25 76  0  0 2017-02-14 22:09:02
 0  0      0 429016   4916  33868    0    0     0     0 98946  397  0 19 82  0  0 2017-02-14 22:09:03
 0  0      0 428952   4916  33868    0    0     0     0 98797  408  0 20 81  0  0 2017-02-14 22:09:04
 0  0      0 428984   4916  33868    0    0     0     0 98941  431  0 20 80  0  0 2017-02-14 22:09:05
 0  0      0 428920   4916  33868    0    0     0     0 99024  425  0 22 79  0  0 2017-02-14 22:09:06
 0  0      0 428920   4916  33868    0    0     0     0 99083  426  0 23 78  0  0 2017-02-14 22:09:07
 0  0      0 428920   4916  33868    0    0     0     0 99023  416  0 19 81  0  0 2017-02-14 22:09:08
 0  0      0 428920   4916  33868    0    0     0     0 98928  429  0 23 78  0  0 2017-02-14 22:09:09
 0  0      0 428856   4916  33868    0    0     0     0 98955  415  0 23 77  0  0 2017-02-14 22:09:10
 0  0      0 428888   4916  33868    0    0     0     0 99250  425  0 29 72  0  0 2017-02-14 22:09:11
 0  0      0 428824   4916  33868    0    0     0     0 98799  453  0 26 75  0  0 2017-02-14 22:09:12
 0  0      0 428824   4916  33868    0    0     0     0 99035  425  0 22 78  0  0 2017-02-14 22:09:13
 0  0      0 428760   4916  33868    0    0     0     0 98972  438  0 22 79  0  0 2017-02-14 22:09:14
 0  0      0 428632   4916  33868    0    0     0     0 98954  456  0 26 74  0  0 2017-02-14 22:09:15
 0  0      0 428664   4916  33868    0    0     0     0 99001  437  0 22 79  0  0 2017-02-14 22:09:16
 0  0      0 428632   4916  33868    0    0     0     0 98751  444  0 21 80  0  0 2017-02-14 22:09:17
 0  0      0 428600   4916  33868    0    0     0     0 98742  469  0 18 82  0  0 2017-02-14 22:09:18
 0  0      0 428600   4916  33868    0    0     0     0 98777  406  0 21 79  0  0 2017-02-14 22:09:19
 0  0      0 428536   4916  33868    0    0     0     0 98855  390  0 20 81  0  0 2017-02-14 22:09:20
 0  0      0 428568   4916  33868    0    0     0     0 99151  439  0 23 77  0  0 2017-02-14 22:09:21
 0  0      0 428408   4916  33868    0    0     0     0 99062  440  1 23 77  0  0 2017-02-14 22:09:22
 0  0      0 428344   4916  33868    0    0     0     0 99078  472  0 25 76  0  0 2017-02-14 22:09:23
 0  0      0 428376   4916  33872    0    0     0     0 99120  414  0 23 77  0  0 2017-02-14 22:09:24
 0  0      0 428376   4916  33872    0    0     0     0 99046  442  0 28 73  0  0 2017-02-14 22:09:25
 0  0      0 428280   4916  33872    0    0     0     0 98810  417  0 20 80  0  0 2017-02-14 22:09:26
 0  0      0 428184   4916  33872    0    0     0     0 98847  484  0 23 78  0  0 2017-02-14 22:09:27
 0  0      0 428152   4916  33872    0    0     0     0 99039  450  0 22 78  0  0 2017-02-14 22:09:28
 0  0      0 428152   4916  33872    0    0     0     0 99161  446  0 24 76  0  0 2017-02-14 22:09:29
 0  0      0 428088   4916  33872    0    0     0     0 98965  491  0 25 76  0  0 2017-02-14 22:09:30
 0  0      0 428024   4916  33872    0    0     0     0 98911  460  0 23 77  0  0 2017-02-14 22:09:31
 0  0      0 428024   4916  33872    0    0     0     0 98911  442  0 24 76  0  0 2017-02-14 22:09:32
 0  0      0 428024   4916  33872    0    0     0     0 98940  412  0 21 79  0  0 2017-02-14 22:09:33
 0  0      0 427928   4916  33872    0    0     0     0 98951  450  0 26 75  0  0 2017-02-14 22:09:34
 0  0      0 427896   4916  33872    0    0     0     0 98965  441  0 19 81  0  0 2017-02-14 22:09:35
 0  0      0 427896   4916  33872    0    0     0     0 98998  420  0 23 78  0  0 2017-02-14 22:09:36
 0  0      0 427896   4916  33872    0    0     0     0 99116  427  0 21 80  0  0 2017-02-14 22:09:37
 0  0      0 427896   4916  33872    0    0     0     0 98922  440  0 22 78  0  0 2017-02-14 22:09:38
 0  0      0 427896   4916  33872    0    0     0     0 98798  475  0 19 82  0  0 2017-02-14 22:09:39
 0  0      0 427864   4916  33872    0    0     0     0 98658  456  0 23 77  0  0 2017-02-14 22:09:40
 0  0      0 427896   4916  33872    0    0     0     0 98882  451  0 20 81  0  0 2017-02-14 22:09:41
 0  0      0 427896   4916  33872    0    0     0     0 98890  436  0 23 77  0  0 2017-02-14 22:09:42
 0  0      0 427896   4916  33872    0    0     0     0 99109  440  0 21 80  0  0 2017-02-14 22:09:43
 0  0      0 427896   4916  33872    0    0     0     0 99098  425  0 21 79  0  0 2017-02-14 22:09:44
 0  0      0 427832   4916  33872    0    0     0     0 99019  448  0 26 74  0  0 2017-02-14 22:09:45
