1487131778
[H[JMem: 87324K used, 425460K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.08 0.02 0.01 1/80 21682
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0      0 425524   4916  33864    0    0     0     0   12   37  0  1 99  0  0 2017-02-15 04:09:38
 0  0      0 422416   4916  33868    0    0     0     0 98021  205  0 28 72  0  0 2017-02-15 04:09:39
 0  0      0 416596   4916  33868    0    0     0     0 99715  193  0 26 75  0  0 2017-02-15 04:09:40
 0  0      0 415560   4916  33868    0    0     0     0 99978  201  0 22 79  0  0 2017-02-15 04:09:41
 0  0      0 428160   4916  33868    0    0     0     0 100008  259  0 23 78  0  0 2017-02-15 04:09:42
 0  0      0 428680   4916  33868    0    0     0     0 101367  167  0 22 78  0  0 2017-02-15 04:09:43
 0  0      0 428680   4916  33868    0    0     0     0 101034  164  0 19 82  0  0 2017-02-15 04:09:44
 0  0      0 428648   4916  33868    0    0     0     0 101373  176  0 21 79  0  0 2017-02-15 04:09:45
 0  0      0 428640   4916  33868    0    0     0     0 100762  166  0 22 79  0  0 2017-02-15 04:09:46
 0  0      0 428640   4916  33868    0    0     0     0 100951  184  0 21 79  0  0 2017-02-15 04:09:47
 0  0      0 428632   4916  33868    0    0     0     0 100808  194  0 23 77  0  0 2017-02-15 04:09:48
 0  0      0 428632   4916  33868    0    0     0     0 101032  203  0 19 82  0  0 2017-02-15 04:09:49
 0  0      0 428704   4916  33868    0    0     0     0 100925  196  0 21 79  0  0 2017-02-15 04:09:50
 0  0      0 428704   4916  33868    0    0     0     0 100718  387  0 28 73  0  0 2017-02-15 04:09:51
 0  0      0 428640   4916  33868    0    0     0     0 100427  390  1 28 72  0  0 2017-02-15 04:09:52
 0  0      0 428640   4916  33868    0    0     0     0 100549  366  0 21 79  0  0 2017-02-15 04:09:53
 0  0      0 428672   4916  33868    0    0     0     0 100915  354  0 22 79  0  0 2017-02-15 04:09:54
 0  0      0 428672   4916  33868    0    0     0     0 100691  362  0 22 78  0  0 2017-02-15 04:09:55
 0  0      0 428672   4916  33868    0    0     0     0 100405  359  0 20 80  0  0 2017-02-15 04:09:56
 0  0      0 428672   4916  33868    0    0     0     0 100533  371  0 25 76  0  0 2017-02-15 04:09:57
 0  0      0 428672   4916  33868    0    0     0     0 100458  360  0 21 79  0  0 2017-02-15 04:09:58
 0  0      0 428608   4916  33868    0    0     0     0 100505  371  0 21 80  0  0 2017-02-15 04:09:59
 0  0      0 428608   4916  33868    0    0     0     0 100927  368  0 23 77  0  0 2017-02-15 04:10:00
 0  0      0 428708   4916  33868    0    0     0     0 100342  401  0 23 77  0  0 2017-02-15 04:10:01
 0  0      0 428692   4916  33868    0    0     0     0 100579  398  0 28 72  0  0 2017-02-15 04:10:02
 0  0      0 428692   4916  33868    0    0     0     0 100335  370  0 23 78  0  0 2017-02-15 04:10:03
 0  0      0 428660   4916  33868    0    0     0     0 100337  367  0 22 78  0  0 2017-02-15 04:10:04
 0  0      0 428628   4916  33868    0    0     0     0 100348  380  0 24 76  0  0 2017-02-15 04:10:05
 0  0      0 428660   4916  33868    0    0     0     0 100387  361  0 21 80  0  0 2017-02-15 04:10:06
 0  0      0 428596   4916  33868    0    0     0     0 100564  361  0 20 81  0  0 2017-02-15 04:10:07
 0  0      0 428628   4916  33868    0    0     0     0 100724  366  0 23 78  0  0 2017-02-15 04:10:08
 0  0      0 428628   4916  33868    0    0     0     0 100582  389  0 28 73  0  0 2017-02-15 04:10:09
