1487113736
[H[JMem: 93424K used, 419360K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/85 21014
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419340   4916  33864    0    0     0     0   29   34  0  0 99  0  0 2017-02-14 23:08:56
 0  0      0 419328   4916  33868    0    0     0     0 99233  298  0 28 73  0  0 2017-02-14 23:08:57
 0  0      0 419328   4916  33868    0    0     0     0 102269  281  0 21 80  0  0 2017-02-14 23:08:58
 0  0      0 419328   4916  33868    0    0     0     0 101984  296  0 23 78  0  0 2017-02-14 23:08:59
 0  0      0 419328   4916  33868    0    0     0     0 101803  283  0 24 76  0  0 2017-02-14 23:09:00
 0  0      0 419328   4916  33868    0    0     0     0 101678  298  0 23 77  0  0 2017-02-14 23:09:01
 0  0      0 419328   4916  33868    0    0     0     0 101788  273  0 21 79  0  0 2017-02-14 23:09:02
 0  0      0 419328   4916  33868    0    0     0     0 101749  271  0 18 82  0  0 2017-02-14 23:09:03
 0  0      0 419328   4916  33868    0    0     0     0 101597  303  0 23 78  0  0 2017-02-14 23:09:04
 0  0      0 419328   4916  33868    0    0     0     0 101744  268  0 19 82  0  0 2017-02-14 23:09:05
 0  0      0 419328   4916  33868    0    0     0     0 101830  361  0 21 79  0  0 2017-02-14 23:09:06
 0  0      0 419328   4916  33868    0    0     0     0 101780  287  0 22 78  0  0 2017-02-14 23:09:07
 0  0      0 419328   4916  33868    0    0     0     0 101921  292  0 26 74  0  0 2017-02-14 23:09:08
 0  0      0 419328   4916  33868    0    0     0     0 102014  259  0 20 80  0  0 2017-02-14 23:09:09
 0  0      0 419328   4916  33868    0    0     0     0 101773  263  0 19 82  0  0 2017-02-14 23:09:10
 0  0      0 419328   4916  33868    0    0     0     0 101641  289  0 24 76  0  0 2017-02-14 23:09:11
 0  0      0 419296   4916  33868    0    0     0     0 101669  289  0 18 83  0  0 2017-02-14 23:09:12
 0  0      0 419328   4916  33868    0    0     0     0 101662  274  0 21 79  0  0 2017-02-14 23:09:13
 0  0      0 419328   4916  33868    0    0     0     0 101577  293  1 24 76  0  0 2017-02-14 23:09:14
 0  0      0 419328   4916  33868    0    0     0     0 101612  308  0 24 77  0  0 2017-02-14 23:09:15
 0  0      0 419328   4916  33868    0    0     0     0 101579  268  0 19 81  0  0 2017-02-14 23:09:16
 0  0      0 419328   4916  33868    0    0     0     0 101601  287  0 21 79  0  0 2017-02-14 23:09:17
 0  0      0 419328   4916  33868    0    0     0     0 101698  268  1 22 78  0  0 2017-02-14 23:09:18
 0  0      0 419328   4916  33868    0    0     0     0 101682  279  0 21 79  0  0 2017-02-14 23:09:19
 0  0      0 419328   4916  33868    0    0     0     0 101711  258  0 19 81  0  0 2017-02-14 23:09:20
 0  0      0 419328   4916  33868    0    0     0     0 101680  274  0 23 78  0  0 2017-02-14 23:09:21
 0  0      0 419328   4916  33868    0    0     0     0 101660  298  0 24 76  0  0 2017-02-14 23:09:22
 0  0      0 419296   4916  33868    0    0     0     0 101917  274  0 20 80  0  0 2017-02-14 23:09:23
 0  0      0 419328   4916  33868    0    0     0     0 101646  300  0 24 77  0  0 2017-02-14 23:09:24
 0  0      0 419328   4916  33868    0    0     0     0 101574  282  0 21 79  0  0 2017-02-14 23:09:25
 0  0      0 419328   4916  33868    0    0     0     0 101560  273  0 24 77  0  0 2017-02-14 23:09:26
 0  0      0 419328   4916  33868    0    0     0     0 101470  248  0 15 85  0  0 2017-02-14 23:09:27
 0  0      0 419360   4916  33868    0    0     0     0 101744  303  0 27 74  0  0 2017-02-14 23:09:28
 0  0      0 419328   4916  33868    0    0     0     0 101857  301  0 30 71  0  0 2017-02-14 23:09:29
 0  0      0 419328   4916  33868    0    0     0     0 101639  294  1 23 77  0  0 2017-02-14 23:09:30
 0  0      0 419328   4916  33868    0    0     0     0 101601  320  0 27 73  0  0 2017-02-14 23:09:31
 0  0      0 419328   4916  33872    0    0     0     0 101591  277  0 23 78  0  0 2017-02-14 23:09:32
 0  0      0 419328   4916  33872    0    0     0     0 101720  274  0 23 77  0  0 2017-02-14 23:09:33
 1  0      0 419328   4916  33872    0    0     0     0 101683  267  0 19 81  0  0 2017-02-14 23:09:34
 0  0      0 419328   4916  33872    0    0     0     0 101562  277  0 22 79  0  0 2017-02-14 23:09:35
 0  0      0 419296   4916  33872    0    0     0     0 101720  284  0 22 79  0  0 2017-02-14 23:09:36
 0  0      0 419328   4916  33872    0    0     0     0 101639  281  0 22 79  0  0 2017-02-14 23:09:37
 0  0      0 419328   4916  33872    0    0     0     0 101702  284  0 22 78  0  0 2017-02-14 23:09:38
 0  0      0 419328   4916  33872    0    0     0     0 101807  287  1 22 78  0  0 2017-02-14 23:09:39
 0  0      0 419328   4916  33872    0    0     0     0 101665  251  0 19 82  0  0 2017-02-14 23:09:40
 0  0      0 419296   4916  33872    0    0     0     0 101660  272  0 20 81  0  0 2017-02-14 23:09:41
 0  0      0 419328   4916  33872    0    0     0     0 101634  285  0 23 78  0  0 2017-02-14 23:09:42
 0  0      0 419328   4916  33872    0    0     0     0 101592  274  0 22 79  0  0 2017-02-14 23:09:43
 0  0      0 419328   4916  33872    0    0     0     0 101760  267  0 21 80  0  0 2017-02-14 23:09:44
 0  0      0 419328   4916  33872    0    0     0     0 101680  272  0 19 81  0  0 2017-02-14 23:09:45
 0  0      0 419328   4916  33872    0    0     0     0 101665  289  0 25 75  0  0 2017-02-14 23:09:46
 0  0      0 419328   4916  33872    0    0     0     0 101532  288  0 25 76  0  0 2017-02-14 23:09:47
 0  0      0 419328   4916  33872    0    0     0     0 101648  300  0 26 75  0  0 2017-02-14 23:09:48
 0  0      0 419328   4916  33872    0    0     0     0 101600  265  0 22 79  0  0 2017-02-14 23:09:49
 0  0      0 419328   4916  33872    0    0     0     0 101728  277  0 22 79  0  0 2017-02-14 23:09:50
 0  0      0 419328   4916  33872    0    0     0     0 101801  286  0 24 77  0  0 2017-02-14 23:09:51
 0  0      0 419328   4916  33872    0    0     0     0 101477  300  0 26 74  0  0 2017-02-14 23:09:52
 0  0      0 419328   4916  33872    0    0     0     0 101503  304  0 26 74  0  0 2017-02-14 23:09:53
 0  0      0 419328   4916  33872    0    0     0     0 101418  281  0 20 80  0  0 2017-02-14 23:09:54
 0  0      0 419328   4916  33872    0    0     0     0 101503  285  0 21 79  0  0 2017-02-14 23:09:55
 0  0      0 419328   4916  33872    0    0     0     0 101539  268  1 23 77  0  0 2017-02-14 23:09:56
 0  0      0 419328   4916  33872    0    0     0     0 101637  252  0 22 79  0  0 2017-02-14 23:09:57
 0  0      0 419328   4916  33872    0    0     0     0 101581  293  0 23 77  0  0 2017-02-14 23:09:58
 0  0      0 419328   4916  33872    0    0     0     0 101628  319  0 27 74  0  0 2017-02-14 23:09:59
 0  0      0 419328   4916  33872    0    0     0     0 101654  284  0 23 78  0  0 2017-02-14 23:10:00
 0  0      0 419304   4916  33872    0    0     0     0 101229  342  0 29 72  0  0 2017-02-14 23:10:01
