1487117344
[H[JMem: 92944K used, 419840K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.08 0.03 0.01 2/85 21150
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 419796   4916  33864    0    0     0     0   10   34  0  1 99  0  0 2017-02-15 00:09:04
 0  0      0 416568   4916  33868    0    0     0     0 98705  270  1 21 79  0  0 2017-02-15 00:09:05
 0  0      0 407876   4916  33868    0    0     0     0 99467  304  0 25 75  0  0 2017-02-15 00:09:06
 0  0      0 408060   4916  33868    0    0     0     0 99772  313  0 21 80  0  0 2017-02-15 00:09:07
 0  0      0 425248   4916  33868    0    0     0     0 100041  366  0 21 79  0  0 2017-02-15 00:09:08
 1  0      0 426360   4916  33868    0    0     0     0 101062  289  0 21 80  0  0 2017-02-15 00:09:09
 1  0      0 426316   4916  33868    0    0     0     0 101306  309  0 24 76  0  0 2017-02-15 00:09:10
 1  0      0 426476   4916  33868    0    0     0     0 100448  291  0 22 78  0  0 2017-02-15 00:09:11
 0  0      0 426444   4916  33868    0    0     0     0 100360  326  0 21 79  0  0 2017-02-15 00:09:12
 0  0      0 426316   4916  33868    0    0     0     0 100484  345  0 17 83  0  0 2017-02-15 00:09:13
 0  0      0 426252   4916  33868    0    0     0     0 100382  495  0 23 77  0  0 2017-02-15 00:09:14
 1  0      0 426284   4916  33868    0    0     0     0 100474  478  1 20 80  0  0 2017-02-15 00:09:15
 0  0      0 426284   4916  33868    0    0     0     0 100593  500  0 19 81  0  0 2017-02-15 00:09:16
 0  0      0 426284   4916  33868    0    0     0     0 100396  503  0 23 78  0  0 2017-02-15 00:09:17
 0  0      0 426284   4916  33868    0    0     0     0 100471  479  0 22 78  0  0 2017-02-15 00:09:18
 0  0      0 426252   4916  33868    0    0     0     0 100534  505  0 24 76  0  0 2017-02-15 00:09:19
 0  0      0 426268   4916  33868    0    0     0     0 100614  501  1 22 78  0  0 2017-02-15 00:09:20
 0  0      0 426236   4916  33868    0    0     0     0 100434  477  0 25 75  0  0 2017-02-15 00:09:21
 0  0      0 426268   4916  33868    0    0     0     0 100473  524  0 26 74  0  0 2017-02-15 00:09:22
 0  0      0 426268   4916  33868    0    0     0     0 100298  484  0 19 82  0  0 2017-02-15 00:09:23
 1  0      0 426268   4916  33868    0    0     0     0 100312  516  0 24 76  0  0 2017-02-15 00:09:24
 0  0      0 426236   4916  33868    0    0     0     0 100413  465  0 19 81  0  0 2017-02-15 00:09:25
 1  0      0 426236   4916  33868    0    0     0     0 100479  510  0 25 75  0  0 2017-02-15 00:09:26
 0  0      0 426236   4916  33868    0    0     0     0 100399  522  0 16 84  0  0 2017-02-15 00:09:27
 0  0      0 426172   4916  33868    0    0     0     0 100542  482  0 21 80  0  0 2017-02-15 00:09:28
 1  0      0 426204   4916  33868    0    0     0     0 100256  537  0 25 75  0  0 2017-02-15 00:09:29
 0  0      0 426108   4916  33868    0    0     0     0 100416  500  0 25 75  0  0 2017-02-15 00:09:30
 0  0      0 426108   4916  33868    0    0     0     0 100639  508  0 25 76  0  0 2017-02-15 00:09:31
 1  0      0 426076   4916  33868    0    0     0     0 100616  489  0 20 81  0  0 2017-02-15 00:09:32
 0  0      0 425980   4916  33868    0    0     0     0 100389  494  0 24 77  0  0 2017-02-15 00:09:33
 1  0      0 425948   4916  33868    0    0     0     0 100334  536  0 22 78  0  0 2017-02-15 00:09:34
 0  0      0 425884   4916  33868    0    0     0     0 100611  497  0 24 76  0  0 2017-02-15 00:09:35
 1  0      0 425884   4916  33868    0    0     0     0 100639  493  0 20 80  0  0 2017-02-15 00:09:36
 0  0      0 425884   4916  33868    0    0     0     0 100523  487  0 21 79  0  0 2017-02-15 00:09:37
 1  0      0 425820   4916  33868    0    0     0     0 100435  491  0 20 80  0  0 2017-02-15 00:09:38
 0  0      0 425820   4916  33868    0    0     0     0 100114  522  0 24 77  0  0 2017-02-15 00:09:39
 0  0      0 425820   4916  33872    0    0     0     0 100382  499  0 23 77  0  0 2017-02-15 00:09:40
 0  0      0 425788   4916  33872    0    0     0     0 100474  490  0 22 78  0  0 2017-02-15 00:09:41
 0  0      0 425820   4916  33872    0    0     0     0 100457  499  0 25 76  0  0 2017-02-15 00:09:42
 0  0      0 425756   4916  33872    0    0     0     0 100657  500  0 23 78  0  0 2017-02-15 00:09:43
 0  0      0 425788   4916  33872    0    0     0     0 100622  478  0 21 79  0  0 2017-02-15 00:09:44
 1  0      0 425788   4916  33872    0    0     0     0 100405  504  0 24 76  0  0 2017-02-15 00:09:45
 1  0      0 425788   4916  33872    0    0     0     0 100393  486  1 21 79  0  0 2017-02-15 00:09:46
 1  0      0 425788   4916  33872    0    0     0     0 100456  485  0 20 80  0  0 2017-02-15 00:09:47
 1  0      0 425796   4916  33872    0    0     0     0 100517  503  1 25 75  0  0 2017-02-15 00:09:48
 1  0      0 425796   4916  33872    0    0     0     0 100501  509  0 25 76  0  0 2017-02-15 00:09:49
 1  0      0 425732   4916  33872    0    0     0     0 100519  493  0 21 80  0  0 2017-02-15 00:09:50
 0  0      0 425732   4916  33872    0    0     0     0 100363  514  1 29 70  0  0 2017-02-15 00:09:51
 1  0      0 425636   4916  33872    0    0     0     0 100268  501  0 23 77  0  0 2017-02-15 00:09:52
 1  0      0 425668   4916  33872    0    0     0     0 100329  484  0 21 80  0  0 2017-02-15 00:09:53
 1  0      0 425572   4916  33872    0    0     0     0 100340  544  0 25 75  0  0 2017-02-15 00:09:54
 1  0      0 425508   4916  33872    0    0     0     0 100454  487  0 28 73  0  0 2017-02-15 00:09:55
 0  0      0 425508   4916  33872    0    0     0     0 100370  498  1 25 75  0  0 2017-02-15 00:09:56
 1  0      0 425508   4916  33872    0    0     0     0 100574  482  0 22 79  0  0 2017-02-15 00:09:57
 0  0      0 425508   4916  33872    0    0     0     0 100478  515  0 20 80  0  0 2017-02-15 00:09:58
 0  0      0 425476   4916  33872    0    0     0     0 100483  487  0 21 80  0  0 2017-02-15 00:09:59
 1  0      0 425468   4916  33872    0    0     0     0 100320  504  0 22 78  0  0 2017-02-15 00:10:00
 0  0      0 425436   4916  33872    0    0     0     0 100678  463  0 21 80  0  0 2017-02-15 00:10:01
 1  0      0 425436   4916  33872    0    0     0     0 100599  452  0 20 81  0  0 2017-02-15 00:10:02
 0  0      0 425436   4916  33872    0    0     0     0 100716  478  0 22 78  0  0 2017-02-15 00:10:03
 0  0      0 425348   4916  33872    0    0     0     0 100811  465  0 21 79  0  0 2017-02-15 00:10:04
 0  0      0 425348   4916  33872    0    0     0     0 100772  495  0 27 73  0  0 2017-02-15 00:10:05
 1  0      0 425316   4916  33872    0    0     0     0 100577  464  0 23 77  0  0 2017-02-15 00:10:06
 0  0      0 425284   4916  33872    0    0     0     0 100523  476  0 24 76  0  0 2017-02-15 00:10:07
 1  0      0 425284   4916  33872    0    0     0     0 100764  495  0 26 74  0  0 2017-02-15 00:10:08
 1  0      0 425252   4916  33872    0    0     0     0 100453  444  0 21 79  0  0 2017-02-15 00:10:09
 0  0      0 425228   4916  33872    0    0     0     0 100730  513  0 29 71  0  0 2017-02-15 00:10:10
 0  0      0 425260   4916  33872    0    0     0     0 100928  473  0 21 80  0  0 2017-02-15 00:10:11
 1  0      0 425260   4916  33872    0    0     0     0 100685  465  0 19 82  0  0 2017-02-15 00:10:12
 0  0      0 425260   4916  33872    0    0     0     0 100684  441  0 20 81  0  0 2017-02-15 00:10:13
 0  0      0 425260   4916  33872    0    0     0     0 100782  463  0 22 78  0  0 2017-02-15 00:10:14
 0  0      0 425228   4916  33872    0    0     0     0 100895  497  0 24 77  0  0 2017-02-15 00:10:15
 0  0      0 425228   4916  33872    0    0     0     0 100560  483  1 24 76  0  0 2017-02-15 00:10:16
 0  0      0 425228   4916  33872    0    0     0     0 100788  461  0 21 79  0  0 2017-02-15 00:10:17
 0  0      0 425228   4916  33872    0    0     0     0 100818  467  0 27 73  0  0 2017-02-15 00:10:18
 0  0      0 425196   4916  33872    0    0     0     0 100874  448  0 26 75  0  0 2017-02-15 00:10:19
 0  0      0 425260   4916  33876    0    0     0     0 100717  398  0 18 82  0  0 2017-02-15 00:10:20
 0  0      0 425228   4916  33876    0    0     0     0 100731  434  0 23 78  0  0 2017-02-15 00:10:21
 0  0      0 425228   4916  33876    0    0     0     0 100716  431  1 22 78  0  0 2017-02-15 00:10:22
 0  0      0 425228   4916  33876    0    0     0     0 100858  417  0 22 78  0  0 2017-02-15 00:10:23
 0  0      0 425228   4916  33876    0    0     0     0 100554  436  0 19 81  0  0 2017-02-15 00:10:24
 0  0      0 425196   4916  33876    0    0     0     0 100693  482  0 22 78  0  0 2017-02-15 00:10:25
 1  0      0 425196   4916  33876    0    0     0     0 100397  516  0 21 79  0  0 2017-02-15 00:10:26
 0  0      0 425196   4916  33876    0    0     0     0 100293  478  0 25 75  0  0 2017-02-15 00:10:27
 0  0      0 425196   4916  33876    0    0     0     0 100685  468  0 22 79  0  0 2017-02-15 00:10:28
 1  0      0 425132   4916  33876    0    0     0     0 100392  481  0 24 77  0  0 2017-02-15 00:10:29
 0  0      0 425132   4916  33876    0    0     0     0 100682  464  0 22 79  0  0 2017-02-15 00:10:30
 1  0      0 425132   4916  33876    0    0     0     0 100536  482  0 24 76  0  0 2017-02-15 00:10:31
 0  0      0 425100   4916  33876    0    0     0     0 100452  491  0 24 76  0  0 2017-02-15 00:10:32
 0  0      0 425036   4916  33876    0    0     0     0 100817  477  0 26 74  0  0 2017-02-15 00:10:33
 0  0      0 425036   4916  33876    0    0     0     0 100773  468  0 26 74  0  0 2017-02-15 00:10:34
 0  0      0 424980   4916  33876    0    0     0     0 100869  474  0 25 76  0  0 2017-02-15 00:10:35
 0  0      0 424948   4916  33876    0    0     0     0 100621  475  0 22 78  0  0 2017-02-15 00:10:36
 0  0      0 424980   4916  33876    0    0     0     0 100769  464  0 23 78  0  0 2017-02-15 00:10:37
 1  0      0 424916   4916  33876    0    0     0     0 100863  480  0 22 78  0  0 2017-02-15 00:10:38
 0  0      0 424916   4916  33876    0    0     0     0 100790  488  0 26 74  0  0 2017-02-15 00:10:39
 0  0      0 424916   4916  33876    0    0     0     0 100853  483  1 24 76  0  0 2017-02-15 00:10:40
 0  0      0 424916   4916  33876    0    0     0     0 100779  493  0 31 70  0  0 2017-02-15 00:10:41
 1  0      0 424852   4916  33876    0    0     0     0 100624  493  0 28 73  0  0 2017-02-15 00:10:42
 1  0      0 424820   4916  33876    0    0     0     0 100604  437  0 20 80  0  0 2017-02-15 00:10:43
 0  0      0 424820   4916  33876    0    0     0     0 100690  497  0 26 75  0  0 2017-02-15 00:10:44
 0  0      0 424820   4916  33876    0    0     0     0 100809  472  0 25 76  0  0 2017-02-15 00:10:45
 1  0      0 424788   4916  33876    0    0     0     0 100616  481  0 21 80  0  0 2017-02-15 00:10:46
 0  0      0 424820   4916  33876    0    0     0     0 100719  503  0 25 76  0  0 2017-02-15 00:10:47
 0  0      0 424820   4916  33876    0    0     0     0 100536  496  0 28 73  0  0 2017-02-15 00:10:48
 0  0      0 424660   4916  33876    0    0     0     0 100547  500  1 31 69  0  0 2017-02-15 00:10:49
 0  0      0 424660   4916  33876    0    0     0     0 100888  464  0 22 78  0  0 2017-02-15 00:10:50
 0  0      0 424660   4916  33876    0    0     0     0 100692  475  0 21 79  0  0 2017-02-15 00:10:51
 0  0      0 424596   4916  33876    0    0     0     0 100743  489  0 23 77  0  0 2017-02-15 00:10:52
 1  0      0 424532   4916  33876    0    0     0     0 100591  485  0 23 77  0  0 2017-02-15 00:10:53
 1  0      0 424532   4916  33876    0    0     0     0 100358  483  0 22 78  0  0 2017-02-15 00:10:54
 0  0      0 424532   4916  33876    0    0     0     0 100363  464  0 20 81  0  0 2017-02-15 00:10:55
 1  0      0 424532   4916  33876    0    0     0     0 100566  473  0 20 81  0  0 2017-02-15 00:10:56
 0  0      0 424500   4916  33876    0    0     0     0 100821  459  0 23 78  0  0 2017-02-15 00:10:57
 0  0      0 424532   4916  33876    0    0     0     0 100726  493  0 22 79  0  0 2017-02-15 00:10:58
 0  0      0 424420   4916  33880    0    0     0     0 100453  509  0 25 75  0  0 2017-02-15 00:10:59
 0  0      0 424452   4916  33880    0    0     0     0 100463  470  1 25 75  0  0 2017-02-15 00:11:00
 0  0      0 424452   4916  33880    0    0     0     0 100856  451  0 23 77  0  0 2017-02-15 00:11:01
 1  0      0 424452   4916  33880    0    0     0     0 100792  484  0 25 76  0  0 2017-02-15 00:11:02
 0  0      0 424356   4916  33880    0    0     0     0 100482  470  0 21 79  0  0 2017-02-15 00:11:03
 0  0      0 424388   4916  33880    0    0     0     0 100810  491  0 28 73  0  0 2017-02-15 00:11:04
 0  0      0 424388   4916  33880    0    0     0     0 100775  447  0 20 80  0  0 2017-02-15 00:11:05
 0  0      0 424356   4916  33880    0    0     0     0 100840  486  0 22 79  0  0 2017-02-15 00:11:06
 0  0      0 424388   4916  33880    0    0     0     0 100856  490  0 21 79  0  0 2017-02-15 00:11:07
 0  0      0 424388   4916  33880    0    0     0     0 100757  499  0 26 74  0  0 2017-02-15 00:11:08
 0  0      0 424292   4916  33880    0    0     0     0 100807  466  0 18 82  0  0 2017-02-15 00:11:09
 0  0      0 424228   4916  33880    0    0     0     0 100747  486  0 23 77  0  0 2017-02-15 00:11:11
 0  0      0 424260   4916  33880    0    0     0     0 100419  493  1 25 75  0  0 2017-02-15 00:11:12
 0  0      0 424260   4916  33880    0    0     0     0 100246  480  0 17 84  0  0 2017-02-15 00:11:13
 0  0      0 424260   4916  33880    0    0     0     0 100455  471  0 22 79  0  0 2017-02-15 00:11:14
 0  0      0 424260   4916  33880    0    0     0     0 100534  475  0 25 76  0  0 2017-02-15 00:11:15
 1  0      0 424260   4916  33880    0    0     0     0 100812  466  0 21 80  0  0 2017-02-15 00:11:16
 0  0      0 424260   4916  33880    0    0     0     0 100578  457  0 20 81  0  0 2017-02-15 00:11:17
 0  0      0 424196   4916  33880    0    0     0     0 100691  456  0 17 83  0  0 2017-02-15 00:11:18
 0  0      0 424196   4916  33880    0    0     0     0 100455  492  0 22 79  0  0 2017-02-15 00:11:19
 0  0      0 424196   4916  33880    0    0     0     0 100478  484  0 22 79  0  0 2017-02-15 00:11:20
 0  0      0 424068   4916  33880    0    0     0     0 100159  496  0 26 75  0  0 2017-02-15 00:11:21
 1  0      0 424068   4916  33880    0    0     0     0 99862  440  0 23 78  0  0 2017-02-15 00:11:22
 0  0      0 424036   4916  33880    0    0     0     0 99952  445  0 25 75  0  0 2017-02-15 00:11:23
 1  0      0 424068   4916  33880    0    0     0     0 100150  415  0 20 81  0  0 2017-02-15 00:11:24
 0  0      0 424036   4916  33880    0    0     0     0 99908  419  0 20 79  0  0 2017-02-15 00:11:25
 1  0      0 424068   4916  33880    0    0     0     0 100073  426  0 26 74  0  0 2017-02-15 00:11:26
 1  0      0 424036   4916  33880    0    0     0     0 99971  445  1 25 75  0  0 2017-02-15 00:11:27
 0  0      0 424068   4916  33880    0    0     0     0 100075  450  0 21 79  0  0 2017-02-15 00:11:28
 0  0      0 424068   4916  33880    0    0     0     0 100099  472  0 24 76  0  0 2017-02-15 00:11:29
 1  0      0 424036   4916  33880    0    0     0     0 100319  453  0 17 83  0  0 2017-02-15 00:11:30
 0  0      0 424068   4916  33880    0    0     0     0 100437  451  0 18 82  0  0 2017-02-15 00:11:31
 1  0      0 424068   4916  33880    0    0     0     0 100026  418  0 17 83  0  0 2017-02-15 00:11:32
 1  0      0 424068   4916  33880    0    0     0     0 99801  401  0 20 81  0  0 2017-02-15 00:11:33
 1  0      0 424076   4916  33880    0    0     0     0 100037  409  0 17 83  0  0 2017-02-15 00:11:34
 0  0      0 424052   4916  33880    0    0     0     0 100225  481  0 23 78  0  0 2017-02-15 00:11:35
 0  0      0 424052   4916  33880    0    0     0     0 100015  434  0 21 79  0  0 2017-02-15 00:11:36
 1  0      0 424084   4916  33880    0    0     0     0 100105  427  0 22 79  0  0 2017-02-15 00:11:37
 1  0      0 424052   4916  33880    0    0     0     0 100048  455  0 21 79  0  0 2017-02-15 00:11:38
 0  0      0 424084   4916  33880    0    0     0     0 100272  433  0 22 79  0  0 2017-02-15 00:11:39
 1  0      0 424084   4916  33884    0    0     0     0 99831  477  0 23 77  0  0 2017-02-15 00:11:40
 1  0      0 424084   4916  33884    0    0     0     0 99797  471  0 23 78  0  0 2017-02-15 00:11:41
 1  0      0 424052   4916  33884    0    0     0     0 99704  489  0 23 77  0  0 2017-02-15 00:11:42
 0  0      0 424052   4916  33884    0    0     0     0 99757  507  0 22 79  0  0 2017-02-15 00:11:43
 0  0      0 424084   4916  33884    0    0     0     0 99578  522  0 27 73  0  0 2017-02-15 00:11:44
 0  0      0 423988   4916  33884    0    0     0     0 99857  510  1 25 75  0  0 2017-02-15 00:11:45
 0  0      0 424020   4916  33884    0    0     0     0 99662  461  0 19 82  0  0 2017-02-15 00:11:46
 0  0      0 424020   4916  33884    0    0     0     0 99783  461  0 21 79  0  0 2017-02-15 00:11:47
 1  0      0 423924   4916  33884    0    0     0     0 99485  468  0 18 83  0  0 2017-02-15 00:11:48
 0  0      0 423956   4916  33884    0    0     0     0 99470  480  0 24 77  0  0 2017-02-15 00:11:49
 0  0      0 423924   4916  33884    0    0     0     0 99553  479  0 21 80  0  0 2017-02-15 00:11:50
 1  0      0 423892   4916  33884    0    0     0     0 99548  472  0 24 76  0  0 2017-02-15 00:11:51
 0  0      0 423892   4916  33884    0    0     0     0 99548  466  0 23 78  0  0 2017-02-15 00:11:52
