1487120953
[H[JMem: 91776K used, 421008K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   0% sys   0% nic 100% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 1/85 21293
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 421008   4916  33864    0    0     0     0   27   36  0  1 99  0  0 2017-02-15 01:09:13
 0  0      0 420968   4916  33868    0    0     0     0 98162  281  0 23 78  0  0 2017-02-15 01:09:14
 0  0      0 420968   4916  33868    0    0     0     0 101030  279  0 26 75  0  0 2017-02-15 01:09:15
 0  0      0 420968   4916  33868    0    0     0     0 100872  268  0 20 81  0  0 2017-02-15 01:09:16
 0  0      0 420968   4916  33868    0    0     0     0 101158  286  0 25 76  0  0 2017-02-15 01:09:17
 0  0      0 420968   4916  33868    0    0     0     0 101087  270  0 20 81  0  0 2017-02-15 01:09:18
 1  0      0 420968   4916  33868    0    0     0     0 101157  276  0 22 78  0  0 2017-02-15 01:09:19
 0  0      0 420968   4916  33868    0    0     0     0 101201  294  0 25 74  0  0 2017-02-15 01:09:20
 0  0      0 420968   4916  33868    0    0     0     0 101402  275  0 21 80  0  0 2017-02-15 01:09:21
 0  0      0 420968   4916  33868    0    0     0     0 101325  268  0 17 83  0  0 2017-02-15 01:09:22
 0  0      0 420968   4916  33868    0    0     0     0 101245  275  0 22 79  0  0 2017-02-15 01:09:23
 0  0      0 420968   4916  33868    0    0     0     0 101134  252  0 21 79  0  0 2017-02-15 01:09:24
 0  0      0 420936   4916  33868    0    0     0     0 101205  293  0 26 75  0  0 2017-02-15 01:09:25
 1  0      0 420968   4916  33868    0    0     0     0 101118  302  0 28 73  0  0 2017-02-15 01:09:26
 0  0      0 420968   4916  33868    0    0     0     0 101127  274  0 18 82  0  0 2017-02-15 01:09:27
 1  0      0 420936   4916  33868    0    0     0     0 101195  244  0 15 85  0  0 2017-02-15 01:09:28
 1  0      0 420936   4916  33868    0    0     0     0 101144  260  0 20 80  0  0 2017-02-15 01:09:29
 0  0      0 420960   4916  33868    0    0     0     0 101172  273  0 22 79  0  0 2017-02-15 01:09:30
 0  0      0 420960   4916  33868    0    0     0     0 101321  271  0 20 80  0  0 2017-02-15 01:09:31
 0  0      0 420960   4916  33868    0    0     0     0 101305  293  0 22 79  0  0 2017-02-15 01:09:32
 0  0      0 420928   4916  33868    0    0     0     0 101595  270  0 19 82  0  0 2017-02-15 01:09:33
 1  0      0 420960   4916  33868    0    0     0     0 101410  275  0 24 77  0  0 2017-02-15 01:09:34
