1487142604
[H[JMem: 92472K used, 420312K free, 1056K shrd, 4916K buff, 21352K cached
CPU:   0% usr   4% sys   0% nic  95% idle   0% io   0% irq   0% sirq
Load average: 0.00 0.00 0.00 2/86 22077
[7m  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND[0m
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  0      0 420312   4916  33864    0    0     0     0   27    3  0  2 98  0  0 2017-02-15 07:10:04
 0  0      0 420304   4916  33868    0    0     0     0 100917  304  0 21 79  0  0 2017-02-15 07:10:05
 0  0      0 420336   4916  33868    0    0     0     0 103928  302  0 18 82  0  0 2017-02-15 07:10:06
 0  0      0 420336   4916  33868    0    0     0     0 103730  275  0 19 81  0  0 2017-02-15 07:10:07
 0  0      0 420336   4916  33868    0    0     0     0 103864  302  0 21 79  0  0 2017-02-15 07:10:08
 0  0      0 420336   4916  33868    0    0     0     0 103531  303  0 22 78  0  0 2017-02-15 07:10:09
 0  0      0 420336   4916  33868    0    0     0     0 103518  325  0 22 79  0  0 2017-02-15 07:10:10
 0  0      0 420344   4916  33868    0    0     0     0 103743  306  0 22 78  0  0 2017-02-15 07:10:11
 0  0      0 420344   4916  33868    0    0     0     0 103736  296  0 18 83  0  0 2017-02-15 07:10:12
 0  0      0 420344   4916  33868    0    0     0     0 103745  297  0 22 78  0  0 2017-02-15 07:10:13
 0  0      0 420344   4916  33868    0    0     0     0 103660  259  0 23 78  0  0 2017-02-15 07:10:14
 0  0      0 420344   4916  33868    0    0     0     0 103795  323  0 24 77  0  0 2017-02-15 07:10:15
 0  0      0 420376   4916  33868    0    0     0     0 103903  292  0 19 81  0  0 2017-02-15 07:10:16
 0  0      0 420344   4916  33868    0    0     0     0 103889  333  0 24 77  0  0 2017-02-15 07:10:17
 0  0      0 420344   4916  33868    0    0     0     0 103949  307  0 21 78  0  0 2017-02-15 07:10:18
 0  0      0 420344   4916  33868    0    0     0     0 103857  281  0 22 78  0  0 2017-02-15 07:10:19
 0  0      0 420344   4916  33868    0    0     0     0 103871  273  0 26 75  0  0 2017-02-15 07:10:20
 0  0      0 420344   4916  33868    0    0     0     0 103799  279  0 20 81  0  0 2017-02-15 07:10:21
 0  0      0 420344   4916  33868    0    0     0     0 104063  233  0 21 79  0  0 2017-02-15 07:10:22
 0  0      0 420344   4916  33868    0    0     0     0 104014  232  0 23 78  0  0 2017-02-15 07:10:23
 0  0      0 420344   4916  33868    0    0     0     0 104075  251  0 19 82  0  0 2017-02-15 07:10:24
 0  0      0 420344   4916  33868    0    0     0     0 104046  231  0 21 80  0  0 2017-02-15 07:10:25
 0  0      0 420344   4916  33868    0    0     0     0 103763  239  0 22 79  0  0 2017-02-15 07:10:26
 0  0      0 420344   4916  33868    0    0     0     0 103931  246  0 20 80  0  0 2017-02-15 07:10:27
 0  0      0 420376   4916  33868    0    0     0     0 103815  217  0 21 80  0  0 2017-02-15 07:10:28
 0  0      0 420312   4916  33868    0    0     0     0 104060  239  0 20 81  0  0 2017-02-15 07:10:29
 0  0      0 420344   4916  33868    0    0     0     0 104039  264  0 23 77  0  0 2017-02-15 07:10:30
 0  0      0 420344   4916  33868    0    0     0     0 103773  235  0 20 80  0  0 2017-02-15 07:10:31
 0  0      0 420344   4916  33868    0    0     0     0 103717  238  1 20 80  0  0 2017-02-15 07:10:32
 0  0      0 420344   4916  33868    0    0     0     0 103827  233  0 20 80  0  0 2017-02-15 07:10:33
 0  0      0 420344   4916  33868    0    0     0     0 103629  269  0 21 80  0  0 2017-02-15 07:10:34
 0  0      0 420312   4916  33868    0    0     0     0 103773  230  0 20 80  0  0 2017-02-15 07:10:35
 0  0      0 420344   4916  33868    0    0     0     0 103812  209  0 22 78  0  0 2017-02-15 07:10:36
 0  0      0 420344   4916  33868    0    0     0     0 103703  225  0 18 83  0  0 2017-02-15 07:10:37
 0  0      0 420344   4916  33868    0    0     0     0 103861  234  1 19 81  0  0 2017-02-15 07:10:38
 0  0      0 420344   4916  33868    0    0     0     0 103880  247  0 19 81  0  0 2017-02-15 07:10:39
 0  0      0 420312   4916  33872    0    0     0     0 103845  254  0 21 79  0  0 2017-02-15 07:10:40
 0  0      0 420344   4916  33872    0    0     0     0 103848  238  0 21 79  0  0 2017-02-15 07:10:41
 0  0      0 420344   4916  33872    0    0     0     0 103981  243  0 21 79  0  0 2017-02-15 07:10:42
 0  0      0 420344   4916  33872    0    0     0     0 103950  224  0 22 78  0  0 2017-02-15 07:10:43
 0  0      0 420312   4916  33872    0    0     0     0 104016  242  0 23 77  0  0 2017-02-15 07:10:44
 0  0      0 420344   4916  33872    0    0     0     0 104109  262  0 21 80  0  0 2017-02-15 07:10:45
 0  0      0 420344   4916  33872    0    0     0     0 103887  247  0 24 76  0  0 2017-02-15 07:10:46
 0  0      0 420344   4916  33872    0    0     0     0 103967  259  0 23 77  0  0 2017-02-15 07:10:47
 0  0      0 420344   4916  33872    0    0     0     0 103971  213  0 18 83  0  0 2017-02-15 07:10:48
 0  0      0 420376   4916  33872    0    0     0     0 103892  232  0 23 78  0  0 2017-02-15 07:10:49
 0  0      0 420344   4916  33872    0    0     0     0 103751  252  1 20 80  0  0 2017-02-15 07:10:50
